,,,min manatla
,,,Keçən ilin
,,Cari dövr,
,,,müvafiq dövrü
,,3/31/2022,3/31/2021
1,Faiz gəlirləri:,139950,111764
1.1,Müştərilərə verilmiş kreditlər,114006,90262
1.2,Banklar və digər maliyyə institutlarına verilən kreditlər üzrə faiz gəlirləri,1846,2521
1.3,Banklar və digər maliyyə institutlarındakı depozitlər üzrə faiz gəlirləri,2843,1850
1.4,Ticarət və investisiya qiymətli kağızları üzrə faiz gəlirləri,18833,15133
1.5,Digər faiz gəlirləri,2421,1998
2,Faiz xərcləri:,19137,15239
2.1,Depozitlər üzrə faizlər,13788,11680
2.2,Mərkəzi bank və dövlət fondları qarşısında öhdəliklər üzrə faiz xərcləri,0,1
2.3,Cəlb edilmiş kreditlərə görə ödənilən faizlər,2491,1527
2.4,Pul bazarı alətlərinə ödənilən faizlər,0,0
2.5,Qiymətli kağızlar üzrə faizlər,0,0
2.6,Digər faiz xərcləri,2857,2032
3,Xalis faiz gəliri(zərəri),120813,96525
4,Qeyri-faiz gəlirləri:,87744,58762
4.1,Alınan haqq və kommisiya gəliri,77914,52643
4.2,Xarici valyutadan gəlir/zərər (məzənnə dəyişməsi daxil olmaqla,7789,5458
4.3,Qiymətli kağızların satışından və yenidən qiymətləndirilməsindən gəlir/zərər,0,0
4.4,Digər gəlirlər,2041,661
5,Qeyri-faiz xərcləri:,103671,64649
5.1,Əmək haqqı və digər kompensiya növləri üzrə xərclər,40688,31786
5.2,Ümumi və inzibati xərclər,8482,20493
5.3,Amortizasiya xərcləri,6154,5213
5.4,Digər xərclər,48347,7157
6,Əməliyyat mənfəəti (zərəri),103017,90444
7,(Mümkün zərərlər üçün yaradılan məqsədli ehtiyatlar),-38800,21195
8,Mənfəət vergisindən əvvəlki mənfəət(zərər),66086,69443
9,Mənfəət vergisi,15680,13908
10,Dövr üzrə xalis mənfəət,50405,55535
