"","Maliyyə vəziyyəti haqqında hesabat","",""
"","","","min manatla"
"","","","Keçən ilin müvafiq"
"","finSitStatem","Hesabat dövrü",""
"","","","dövrü"
"","","31.3.2022","31.3.2021"
"1","Aktivlər:","6 934 685","5 587 991"
"1,1","Nağd pul vəsaitləri və  ekvivalentləri, o cümlədən bloklaşdırılmış nağd vəsait","2 032 342","2 006 369"
"1,2","Ticarət və investisiya qiymətli kağızları","1 712 070","992 437"
"1,3","Banklar və digər maliyyə institutlarındakı depozitlər","270 163","360 867"
"1,4","Banklar və digər maliyyə institutlarına verilən kreditlər","85 009","11 600"
"1,5","Müştərilərə verilmiş kreditlər","2 903 539","2 213 171"
"1.5.1","a) istehlak kreditləri","1 714 853","1 374 855"
"1.5.2","b) biznes kreditləri","867 018","593 704"
"1.5.3","c) daşınmaz əmlak kreditləri","321 668","244 613"
"1.5.4","d) digər kreditlər","0","0"
"1.5.5","(Mümkün zərərlər üçün yaradılan məqsədli ehtiyat)","-378 575","-289 819"
"1.5.6 Müştərilərə verilmiş kreditlər (xalis)","","2 524 964","1 923 352"
"1,6","Əmlak və avadanlıqlar","65 916","60 324"
"1,7","Qeyri-maddi aktivlər","25 484","24 127"
"1,8","Təxirə salınmış vergi aktivləri","8 604","4 802"
"1,9","Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat","2","6 102"
"1.10","Digər aktivlər","210 131","204 113"
"2","Öhdəliklər:","6 387 081","4 909 490"
"2,1","Depozitlər","5 476 770","4 065 753"
"2.1.1","a) fiziki şəxslərin depozitləri","1 655 331","1 044 426"
"2.1.2","b) hüquqi şəxslərin depozitləri","3 821 439","3 021 327"
"2,2","Mərkəzi bank və dövlət fondları qarşısında öhdəliklər","1 620","2 160"
"2,3","Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər","495 442","349 355"
"2,4","Borc qiymətli kağızları","0","0"
"2,5","Cari vergi öhdəlikləri","22 654","20 737"
"2,6","Təxirə salınmış vergi öhdəliyi","0","0"
"2,7","Subordinasiya borc öhdəlikləri","68 000","68 000"
"2,8","Digər öhdəliklər","322 596","403 485"
"3","Kapital:","547 604","678 501"
"3,1","Səhmdar kapitalı","245 850","245 850"
"3,2","Səhmin qiymətinin dəyişməsindən gəlir (zərər)","800","800"
"3,3","Bölüşdürülməmiş mənfəət","260 175","397 944"
"3,40","Ümumi ehtiyatlar:","40 779","33 906"
"3.4.1","a) kreditlər, lizinqlər və digər tələblər üzrə mümkün zərərlərin ödənilməsi üçün adi ehtiyatlar","32 503","28 574"
"3.4.2","b) əsas vəsaitlərin qiymətləndirilməsindən adi ehtiyatlar","1 435","1 435"
"3.4.3","c) digər ümumi ehtiyatlar","6 840","3 897"
"4","Cəmi öhdəliklər və kapital","6 934 685","5 587 991"
