A.    Aktivlər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
a) Rezident maliyyə institutlarına,0,0,0,0,0,0,0,0,31 024,0,17 000,0,0,0,0,0,17 000,0,8 500,0,0,0,0,0,0,0,2 000,0,17 000,0,62 500,0,55 075,0,0,0,0,0,210 099,0
a1) müddəti çatmamış depozitlər,0,0,0,0,0,0,0,0,31 024,0,17 000,0,0,0,0,0,17 000,0,8 500,0,0,0,0,0,0,0,2 000,0,17 000,0,62 500,0,55 075,0,0,0,0,0,210 099,0
a2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b) Qeyri-rezident maliyyə institutlarına,9 775,9 775,0,0,0,0,0,0,9 009,9 009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 784,18 784
b1) müddəti çatmamış depozitlər,9 775,9 775,0,0,0,0,0,0,9 009,9 009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 784,18 784
b2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
6. Əks REPO əməliyyatları üzrə,0,0,37 613,0,3 668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41 281,0
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətlikağızlara investisiyalar",0,0,9 901,0,107 256,84 980,93 217,0,13 225,0,4 109,0,23 083,1 700,97 903,85 111,16 111,3 315,19 954,0,192 000,0,87 125,87 125,19 857,1 836,125 582,84 664,20 259,15,253 390,83 315,168 512,44 691,250 430,174 706,11 785,6 460,1 513 699,657 918
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçünqiymətli kağızlar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184 394,0,209 394,0
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləriistisna olmaqla, banklara kreditlər",0,0,5 950,5 950,0,0,0,0,0,0,0,0,0,0,0,0,10 000,0,0,0,0,0,8 500,0,0,0,8 500,0,40 000,0,0,0,0,0,8 500,8 500,0,0,81 450,14 450
a) cari kreditlər,0,0,5 950,5 950,0,0,0,0,0,0,0,0,0,0,0,0,10 000,0,0,0,0,0,8 500,0,0,0,8 500,0,40 000,0,0,0,0,0,8 500,8 500,0,0,81 450,14 450
a1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 000,0,0,0,0,0,8 500,0,0,0,8 500,0,40 000,0,0,0,0,0,0,0,0,0,67 000,0
a2) Qeyri-rezident banklara,0,0,5 950,5 950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 500,8 500,0,0,14 450,14 450
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla,digər maliyyə institutlarına kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 049,0,0,0,2 511,0,0,0,0,0,3 560,0
a) cari kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 049,0,0,0,2 511,0,0,0,0,0,3 560,0
a1) Rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 049,0,0,0,2 511,0,0,0,0,0,3 560,0
a2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1)Rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
11. Müştərilərə verilən kreditlər,26 651,764,28 779,3 549,8 018,4,21 067,34,75 539,159,72 662,404,95 397,25 056,61 221,230,83 522,6 534,85 192,25 163,58 201,2 022,76 094,949,79 389,25 309,64 796,796,65 566,689,1 108 592,279 823,331 288,53 478,219 010,10 000,342 556,3 167,2 903 539,438 131
a) cari kreditlər,26 651,764,28 779,3 549,8 018,4,21 067,34,75 539,159,72 662,404,95 397,25 056,61 221,230,83 522,6 534,85 192,25 163,58 201,2 022,76 094,949,79 389,25 309,64 796,796,65 566,689,1 108 592,279 823,331 288,53 478,219 010,10 000,264 823,0,2 825 806,434 963
b) vaxtı keçmiş kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77 733,3 167,77 733,3 167
"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadəolunmayan əsas vəsaitlər daxil olmaqla)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68 431,,68 431,0
13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32 704,8 461,32 704,8 461
14. Qeyri-maddi aktivlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25 484,0,25 484,0
15. Digər aktivlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228 766,11 924,228 766,11 924
"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçünməqsədli ehtiyatlar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434 848,13 519,434 848,13 519
17. Cəmi aktivlər,2 025 837,560 830,82 243,9 499,118 941,84 984,114 284,34,128 967,9 338,93 809,442,119 507,27 783,159 124,85 340,127 097,10 313,114 527,26 044,275 372,2 193,171 719,88 074,107 088,34 987,201 218,85 800,143 874,705,1 424 482,363 138,557 385,98 169,477 940,193 206,491 272,28 276,6 934 685,1 709 154
