,Sabit və dəyişkən faizi olan aktiv və öhdəliklərin təsnifatı,
,,(min manatla)
Aktivlərin   maddələri,(Hesabat ili qeyd edilsin),
,sabit faizlə,"dəyişkən faizlə
faizsiz"
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda, bankomatlarda və mübadilə şöbələrində olan",-,"-                                                        818,626"
"nağd vəsaitlər daxil olmaqla), cəmi",,
"2. Mərkəzi Bankda müxbir hesab, cəmi",-,"-                                                     1,405,042"
"3. ""Nostro"" hesabları (başqa banklardakı müxbir hesabları), cəmi",-,"-                                                        124,761"
a) Rezident banklar,-,"-                                                          11,941"
b) Qeyri-rezident banklar,-,"-                                                        112,819"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək","110,000","-   
                                                               -"
"olan vəsaitlər), cəmi",,
a) Rezident banklar,"110,000","-   
                                                               -"
