"Balansdankənar öhdəliklərin ayrı ayrı növləri barədə
  ",Unnamed: 1,Unnamed: 2
(min manatla),,
,sumLiabManat,sumLiabForeignCur
ÖHDƏLİKLƏR,Cəmi,Xarici valyutada (2-ci sütundan)
"1. Kredit alətləri, cəmi",550413.0399999999,27206.969999999998
a) Kredit öhdəlikləri,0,0
b) İstifadə olunmamış kredit xətləri,550413.0399999999,27206.969999999998
"c) Qiymətli kağızlar və xarici valyuta istisna olmaqla, aktivlərin alınması üzrə öhdəliklər",0,0
d) Digər öhdəliklər,0,0
"2. Qarantiyalar və bu qəbildən olan öhdəliklər, cəmi",538057.2500000001,219867.47999999998
a) Qarantiyalar,538057.2500000001,219867.47999999998
b) Bu qəbildən olan digər öhdəliklər,0,0
"3. Akkreditivlər, cəmi",17485.54,15729.87
"a) ""Standby"" akkreditivlər",0,0
b) Sənədli akkreditivlər,17485.54,15729.87
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi",17000,17000
a) Spot müqavilələri əsasında ,17000,17000
a1) alqı,0,0
a2) satqı,17000,17000
5. Törəmə maliyyə alətləri üzrə təəhhüdlər,0,0
a) Forvard və fyuçers müqavilələri əsasında ,0,0
a1) alqı,0,0
a2) satqı,0,0
b) Svop müqavilələri əsasında,0,0
b1) alqı,0,0
b2) satqı,0,0
    c) Opsion müqavilələri əsasında,0,0
c1) alqı,0,0
c2) satqı,0,0
d) Digər törəmə maliyyə alətləri əsasında,0,0
d1) alqı,0,0
d2) satqı,0,0
6. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər,0,0
a) alqı,0,0
b) satqı,0,0
7. Digər maliyyə alətlərinin və ya əmtəələrin alınması/satılması üzrə təəhhüdlər,0,0
a) alqı,0,0
b) satqı,0,0
8. Digər balansdankənar öhdəliklər,0,0
,,
,,(min manatla)
,sumLiabManat,sumLiabForeignCur
MADDƏLƏR,Cəmi,Xarici valyutada (2-ci sütundan)
1. Alınmış qarantiyalar və bu qəbildən olan maddələr,0,0
a) Qarantiyalar,0,0
b) Bu qəbildən olan digər maddələr,0,0
2. İxrac akkreditivləri,0,0
3. Silinmiş aktivlər,71415.18,15740.94
a) Balansdan silinmiş ümidsiz kreditlərin əsas məbləği,37480.32,7435.91
b) Balansdan silinmiş ümidsiz  kreditlərin faiz borcları,25684.8,8304.28
c) Balansdan silinmiş digər ümidsiz aktivlərin əsas məbləği ,8250.06,0.75
d) Balansdan silinmiş digər ümidsiz aktivlərin faiz borcları,0,0
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələblər,0,0
5. Digər şərti tələblər (memorandum hesabları nəzərə alınmır),0,0
