Unnamed: 0,Unnamed: 1,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
non-resBank,b) Qeyri-rezident bankların,223.35,223.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223.35,223.35
repoOper,4. REPO əməliyyatları üzrə,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
interBankShTermFinIns,"5. Banklararası bazarın qazanılmış qısamüddətli maliyyəalətləri (7-ci gün də daxil olmaqla 7 günədək  olanlar)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
depOfBankAndMiscFinIns,6. Bankların və digər maliyyə institutların depozitləri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,157.10","17,000.00","10,001.10","10,001.10","32,101.10","32,101.10","36,550.00","25,500.00","20,000.50","20,000.50","8,500.00","8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,"44,997.51","43,828.80","5,149.80","5,149.80","2,475.85",721.02,"8,500.00","8,500.00","187,432.96","171,302.32"
resFinIns,a) Rezident maliyyə institutları,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"19,157.10","17,000.00","10,001.10","10,001.10","32,101.10","32,101.10","36,550.00","25,500.00","20,000.50","20,000.50","8,500.00","8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,"44,997.51","43,828.80","5,149.80","5,149.80","2,475.85",721.02,"8,500.00","8,500.00","187,432.96","171,302.32"
non-ResFinIns,b) Qeyri-rezident maliyyə institutları,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
loanPurchFromBank,"7. Banklardan alınmış kreditlər (7 gündən artıq müddətliolanlar)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
resBank,a) Rezident banklar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
non-resBank,b) Qeyri-rezident banklar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
loanPurchFromIntOrg,"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyəinstitutlarından alınmış kreditlər",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.00,187.00,0.00,0.00,0.00,0.00,"223,213.32",0.00,"223,400.32",187.00
depAndLoanOfCentAdmOrg,9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
municDepandLoan,10. Bələdiyyələrin kreditləri və depozitləri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
morgLoanForBankNeed,"11. Öz ehtiyatları üçün bank tərəfindən alınmış ipotekakreditləri",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
subDebtLiaIssByBank,"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, banktərəfindən buraxılmış subordinasiyalı borc və sair buqəbildən olan borc öhdəlikləri",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
miscLia,13. Digər passivlər,"317,792.44","54,027.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"317,792.44","54,027.12"
capital,14. Kapital,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"508,549.85",,"508,549.85",XXX
totLiabilities,15. Cəmi passivlər (öhdəliklər üstəgəl kapital),"3,266,944.73","824,731.73",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"21,699.48","4,995.07","45,910.08","22,002.37","95,968.28","84,595.26","50,252.19","37,386.83","55,999.19","28,406.28","39,336.55","22,989.41","75,743.93","53,922.60","35,620.55","10,019.31","34,549.32","19,978.08","22,346.34","7,909.60","318,867.39","252,330.51","51,817.79","18,491.46","15,180.29","3,967.46","740,263.17","8,500.00","4,870,499.28","1,400,225.97"
netAmounOfFinAssForEachPer,"16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin)xalis məbləği (sətir 17, cədvəl A13-A çıxılsın sətir 15, cədvəlA13-B)","-1,711,420.20","-105,862.88","221,250.39",166.35,"96,647.80",104.43,"152,866.69","12,885.75","91,033.57","5,313.13","54,579.08","4,544.99","43,011.15","-11,940.49","-11,133.17","-77,650.95","49,705.68","-31,288.05","67,378.89","-1,302.60","44,144.84","-20,461.73","-1,890.71","-46,074.83","30,404.26","11,690.85","23,467.10","-11,213.04","47,323.39","-4,232.93","439,902.13","-196,551.53","327,597.96","92,175.34","241,954.88","218,289.77","-206,823.73","103,676.14",0.00,"-57,732.28"
