Unnamed: 0,A.    Aktivlər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
resFinIns,a) Rezident maliyyə institutlarına,0.00,0.00,"28,865.82",0.00,"72,825.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,000.00",0.00,"10,000.00",0.00,"32,100.00",0.00,"34,850.00",0.00,"20,000.00",0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"40,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"264,141.30",0.00
dueDep,a1) müddəti çatmamış depozitlər,0.00,0.00,"28,865.82",0.00,"72,825.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"17,000.00",0.00,"10,000.00",0.00,"32,100.00",0.00,"34,850.00",0.00,"20,000.00",0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"40,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"264,141.30",0.00
retDateExpDep,a2) qaytarılma müddəti bitmiş depozitlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
non-resFinIns,b) Qeyri-rezident maliyyə institutlarına,"4,557.66","4,557.66",0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,"21,557.66","13,057.66"
dueDep,b1) müddəti çatmamış depozitlər,"4,557.66","4,557.66",0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,"21,557.66","13,057.66"
retDateExpDep,b2) qaytarılma müddəti bitmiş depozitlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
revRepoOper,6. Əks REPO əməliyyatları üzrə,0.00,0.00,"4,491.81",0.00,"16,447.38",0.00,"9,357.36",0.00,0.00,0.00,"10,223.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"40,520.00",0.00
invsInSecInclMorgSec,"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqlaqiymətli kağızlara investisiyalar",0.00,0.00,"15,085.00",85.00,0.00,0.00,510.00,510.00,"1,736.10",187.00,306.00,306.00,"2,808.40","2,808.40","6,114.70","1,479.00","16,578.00",850.00,"2,087.50",425.00,"15,057.20","1,472.20","13,350.00","2,762.50","6,910.70","3,663.50","5,232.90","2,194.70","12,739.93","1,458.59","31,532.50","10,745.70","14,004.20","1,552.10","38,057.90","38,057.90","5,100.00","5,100.00","187,211.03","73,657.59"
commSecInclMorgSec,"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarətüçün qiymətli kağızlar",0.00,0.00,"85,008.21",0.00,0.00,0.00,"114,933.05",0.00,"37,161.12",0.00,206.02,0.00,"12,146.61",0.00,"14,318.19",0.00,0.00,0.00,"2,570.45",0.00,"3,000.41",0.00,"2,999.99",0.00,0.00,0.00,"3,750.13",0.00,"3,751.91",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"25,000.00",0.00,"304,846.09",0.00
loanToBankExclInterBankShTermFinInst,"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyəalətləri istisna olmaqla, banklara kreditlər",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"8,500.00","8,500.00"
currLoan,a) cari kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"8,500.00","8,500.00"
resBank,a1) Rezident banklara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
non-resBank,a2) Qeyri-rezident banklara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"8,500.00","8,500.00"
expLoan,b) vaxtı keçmiş  kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
resBank,b1) Rezident banklara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
non-resBank,b2) Qeyri-rezident banklara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
loanToMiscFinInsExclInterBankShTermFinInst,"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisnaolmaqla, digər maliyyə institutlarına kreditlər",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,"1,000.00","1,000.00",200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,225.00","1,200.00"
currLoan,a) cari kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,"1,000.00","1,000.00",200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,225.00","1,200.00"
res,a1) Rezident,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,"1,000.00","1,000.00",200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,225.00","1,200.00"
non-res,a2) Qeyri-rezident,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
expLoan,b) vaxtı keçmiş  kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
res,b1)Rezident,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
non-res,b2) Qeyri-rezident,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
custLoan,11. Müştərilərə verilən kreditlər,"32,866.81","2,193.67","2,799.55",81.35,"7,374.94",104.43,"16,166.28",475.75,"51,634.85","4,624.63","62,414.82","6,105.79","56,373.69","6,660.95","54,172.86","5,235.95","51,279.87","5,248.78","79,875.22","22,683.77","44,998.78",630.48,"46,710.81","2,817.85","43,661.60","2,594.15","48,033.39","5,570.34","51,066.49",106.68,"687,237.02","45,033.28","348,411.55","100,614.70","219,077.27","184,199.33","249,960.04","13,122.10","2,154,115.84","408,103.98"
currLoan,a) cari kreditlər,"32,866.81","2,193.67","2,799.55",81.35,"7,374.94",104.43,"16,166.28",475.75,"51,634.85","4,624.63","62,414.82","6,105.79","56,373.69","6,660.95","54,172.86","5,235.95","51,279.87","5,248.78","79,875.22","22,683.77","44,998.78",630.48,"46,710.81","2,817.85","43,661.60","2,594.15","48,033.39","5,570.34","51,066.49",106.68,"687,237.02","45,033.28","348,411.55","100,614.70","219,077.27","184,199.33","158,667.04",0.00,"2,062,822.84","394,981.88"
expLoan,b) vaxtı keçmiş kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"91,293.00","13,122.10","91,293.00","13,122.10"
mainFundExclAmort,"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işindəistifadə olunmayan əsas vəsaitlər daxil olmaqla)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"59,976.57",0.00,"59,976.57",0.00
finParAndInvInUnsComp,"13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyəiştirakı",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,320.42","4,782.00","8,320.42","4,782.00"
intAss,14. Qeyri-maddi aktivlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"23,761.50",0.00,"23,761.50",0.00
miscAss,15. Digər aktivlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"437,735.66","89,327.94","437,735.66","89,327.94"
resForAssLoss,"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçünməqsədli ehtiyatlar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"301,510.36","12,178.11","301,510.36","12,178.11"
totAss,17. Cəmi aktivlər,"1,555,524.53","718,868.85","221,250.39",166.35,"96,647.80",104.43,"152,866.69","12,885.75","91,033.57","5,313.13","76,278.56","9,540.06","88,921.23","10,061.88","84,835.11","6,944.31","99,957.87","6,098.78","123,378.08","27,103.68","83,481.39","2,527.68","73,853.22","7,847.77","66,024.81","21,710.16","58,016.42","8,765.04","69,669.73","3,676.67","758,769.52","55,778.98","379,415.75","110,666.80","257,135.17","222,257.23","533,439.44","112,176.14","4,870,499.28","1,342,493.69"
