,Kapital strukturunda dəyişikliklər haqqında hesabat,
,1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən  az,
1,,297971
,olmamalıdır),
"1,1",adi səhmlər (tam ödənilmiş paylar),185850
"1,2",qeyri-kumulyativ müddətsiz imtiyazlı səhmlər,60000
"1,3",səhmlərin emissiyasından əmələ gələn  əlavə vəsait,800
"1,4","bölüşdürülməmiş xalis mənfəət (zərər), cəmi",51321
1.4.1 əvvəlki illərin mənfəəti (zərəri),,31251
1.4.2 (çıx) cari ilin zərəri,,0
1.4.3 kapital ehtiyatları (fondları),,20070
"1,5",digər,0
2,I dərəcəli kapitaldan  tutulmalar,23476
3,Tutulmalardan  sonra I dərəcəli kapitalı (1 - 2),274495
4,II dərəcəli  kapital,274495
5,Məcmu kapital (3+4),548990
6,Məcmu kapitaldan tutulmalar :,9850
7,Tutulmalardan sonra məcmu kapital (5-6),539140
8,Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər,2617422
,,faizlə
9,I dərəcəli  kapitalın  adekvatlıq əmsalı (3:8) x 100,"10,49"
10,Məcmu kapitalın  adekvatlıq  əmsalı (7:8) x 100,"20,60"
