B. Öhdəliklər və kapital,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
2. AMB-nın kreditləri,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"1,080",0,,0,,0,,0,"1,080",XXX
"3. “Loro"" hesabları (bankların müxbir hesabları)","11,829","11,829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,829","11,829"
a) Rezident bankların,"6,997","6,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,997","6,997"
b) Qeyri-rezident bankların,"4,833","4,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,833","4,833"
4. REPO əməliyyatları üzrə,0,,0,,"2,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,500",0
"5. Banklararası bazarın qazanılmış qısamüddətli maliyyəalətləri (7-ci gün də daxil olmaqla 7 günədək  olanlar)",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6. Bankların və digər maliyyə institutların depozitləri,0,0,596,596,0,0,0,0,0,0,"18,700","18,700",542,542,0,0,25,25,0,0,"36,000","34,000",0,0,"17,000","17,000",0,0,300,0,"86,893","83,870",512,512,0,0,972,972,"161,540","156,216"
a) Rezident maliyyə institutları,0,0,596,596,0,0,0,0,0,0,"18,700","18,700",542,542,0,0,25,25,0,0,"36,000","34,000",0,0,"17,000","17,000",0,0,300,0,"86,893","83,870",512,512,0,0,972,972,"161,540","156,216"
b) Qeyri-rezident maliyyə institutları,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"7. Banklardan alınmış kreditlər (7 gündən artıq müddətliolanlar)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40,354",0,0,0,0,0,0,0,"40,354",0
a) Rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,354",,,,,,,,"40,354",0
b) Qeyri-rezident banklar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"8. Beynəlxalq təşkilatlar daxil olmaqla, digər maliyyəinstitutlarından alınmış kreditlər",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"342,013",,"342,013",0
9. Mərkəzi  idarəetmə orqanlarının kreditləri və depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
10. Bələdiyyələrin kreditləri və depozitləri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"11. Öz ehtiyatları üçün bank tərəfindən alınmış ipotekakreditləri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"12. Ödəmə müddətli imtiyazlı səhmlər daxil olmaqla, banktərəfindən buraxılmış subordinasiyalı borc və sair bu qəbildənolan borc öhdəlikləri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,500","59,500",0,0,"59,500","59,500"
13. Digər passivlər,"254,785","19,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,500","8,500",,,"263,285","27,972"
14. Kapital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"823,359",,"823,359",XXX
15. Cəmi passivlər (öhdəliklər üstəgəl kapital),"5,556,429","750,554","1,137",630,"11,305","1,262","73,985","2,229","29,252","6,534","50,195","21,055","37,721","4,099","46,233","3,015","33,022","5,420","37,588","2,967","70,664","41,485","43,100","5,263","41,386","22,319","80,341","4,817","125,308","22,953","416,427","285,870","55,626","6,202","68,343","68,006","1,166,344",972,"7,944,408","1,255,653"
"16.  Hər bir dövr üçün maliyyə aktivlərinin (passivlərinin)xalis məbləği (sətir 17, cədvəl A13-A çıxılsın sətir 15, cədvəlA13-B)","-4,181,293","-470,941","409,283","256,910","275,538","174,545","13,200","-1,772","133,076","-5,682","77,128","-20,324","64,809","-2,163","330,723","5,009","201,099","-1,758","90,928","48,740","69,649","-40,293","244,048",48,"54,072","168,342","33,803","2,740","13,728","-8,208","1,096,699","-173,623","673,324","211,378","386,711","10,320","13,475","104,116",0,"257,385"
