A.    Aktivlər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
a) Rezident maliyyə institutlarına,0,0,0,0,0,0,0,0,"2,000",0,"21,700",0,0,0,0,0,0,0,0,0,"34,000",0,0,0,"17,000",0,0,0,0,0,"82,275",0,0,0,0,0,0,0,"156,975",0
a1) müddəti çatmamış depozitlər,0,0,0,0,0,0,0,0,"2,000",0,"21,700",0,0,0,0,0,0,0,0,0,"34,000",0,0,0,"17,000",0,0,0,0,0,"82,275",0,0,0,0,0,0,0,"156,975",0
a2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b) Qeyri-rezident maliyyə institutlarına,"19,264","19,264",0,0,"1,081","1,081",0,0,0,0,0,0,0,0,0,0,0,0,"8,480","8,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,824","28,824"
b1) müddəti çatmamış depozitlər,"19,264","19,264",0,0,"1,081","1,081",0,0,0,0,0,0,0,0,0,0,0,0,"8,480","8,480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,824","28,824"
b2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
6. Əks REPO əməliyyatları üzrə,0,0,"103,160",0,"29,581",0,"3,934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"136,674",0
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqlaqiymətli kağızlara investisiyalar",0,0,"13,607",0,"26,282",0,"47,850",374,"61,521",0,"17,012",0,"9,725",0,"275,164",0,"123,408","1,700","14,218","17,000","21,151",850,"209,574","3,825","8,568","190,539","35,479","4,930","56,828","11,645","223,970","60,806","357,043","192,783","155,147","55,986","5,325",0,"1,661,872","540,438"
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarətüçün qiymətli kağızlar",0,0,"2,981",0,0,0,"2,949",0,"14,724",0,0,0,"7,881",0,"8,636",0,"9,258",0,"8,468",0,"6,767",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"195,696",0,"257,360",0
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyəalətləri istisna olmaqla, banklara kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,200","10,200",0,0,0,0,"17,795","10,200"
a) cari kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,200","10,200",0,0,0,0,"17,795","10,200"
a1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,595",0
a2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,200","10,200",0,0,0,0,"10,200","10,200"
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisnaolmaqla, digər maliyyə institutlarına kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,794",0,0,0,0,0,0,0,"5,968",0
a) cari kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,794",0,0,0,0,0,0,0,"5,968",0
a1) Rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,794",0,0,0,0,0,0,0,"5,968",0
a2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1)Rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
11. Müştərilərə verilən kreditlər,"15,135",62,"10,387",54,"229,900","174,726","32,452",83,"84,083",852,"88,611",731,"84,924","1,937","85,388","8,023","101,455","1,962","97,349","26,227","78,396",342,"77,574","1,485","69,891",122,"78,666","2,627","82,207","3,100","1,201,087","51,442","361,707","14,597","299,907","22,340","468,568","6,831","3,547,687","317,545"
a) cari kreditlər,"15,135",62,"10,387",54,"229,900","174,726","32,452",83,"84,083",852,"88,611",731,"84,924","1,937","85,388","8,023","101,455","1,962","97,349","26,227","78,396",342,"77,574","1,485","69,891",122,"78,666","2,627","82,207","3,100","1,201,087","51,442","361,707","14,597","299,907","22,340","417,449","6,746","3,496,568","317,459"
b) vaxtı keçmiş kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,119",85,"51,119",85
"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işindəistifadə olunmayan əsas vəsaitlər daxil olmaqla)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81,896",0,"81,896",0
"13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyəiştirakı",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"66,998","8,461","66,998","8,461"
14. Qeyri-maddi aktivlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26,241",0,"26,241",0
15. Digər aktivlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361,976","33,883","361,976","33,883"
"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçünməqsədli ehtiyatlar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"442,791","4,794","442,791","4,794"
17. Cəmi aktivlər,"1,375,136","279,613","410,421","257,541","286,843","175,807","87,185",457,"162,328",852,"127,323",731,"102,530","1,937","376,957","8,023","234,121","3,662","128,516","51,707","140,314","1,192","287,148","5,310","95,458","190,662","114,145","7,557","139,035","14,745","1,513,126","112,248","728,950","217,580","455,054","78,326","1,179,818","105,088","7,944,408","1,513,038"
