Kredit riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,min manatla,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Əsas məbləğ üzrə borc,,,,,,,,,,,,,
,,Cari,Vaxtı keçmiş günlər,,,,,,,,,,,,
,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,151-180 gün,181-210 gün,211-240 gün,241-270 gün,271-300 gün,301-330 gün,331-365 (366) gün,1 il və  artıq
"Kredit portfeli, o cümlədən",3547686.79,3402259.3899999997,94308.46000000002,12645.59,5011.45,4265.070000000001,2973.4700000000003,2743.51,3079.11,2545.7,3312.2799999999997,2490.62,2419.54,2646.7699999999995,6985.83
  -Biznes,1127874.17,1114442.17,4563.130000000005,2313.0300000000007,516.329999999999,53.05000000000018,0.11999999999989086,3.3200000000001637,0,400.00999999999976,22.909999999999854,0.4099999999998545,1.7699999999999818,7.179999999999836,5550.74
  -İstehlak,1927243.6300000001,1822203.4,64789.73,8869.67,4316.85,4179.9800000000005,2973.3500000000004,2740.19,3037.9900000000002,2145.69,3289.37,2490.21,2417.77,2639.5899999999997,1149.8400000000001
  -Daşınmaz əmlak,492568.99,465613.82,24955.6,1462.89,178.27,32.04,0,0,41.12,0,0,0,0,0,285.25
  -Digər kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,,,,,,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Təminatsız,Nağd vəsaitlə təmin olunan,Qızıl təminatlı,Daşınmaz əmlakla təmin olunan,Daşınar əmlakla təmin olunan,Qarantiyalar ilə təmin olunan,Kredit törəmə alətləri ilə təmin olunan,,,,,,,
"Kredit portfeli, o cümlədən",3547686.79,2588312.8,48589,0,579068.99,331716,0,0,,,,,,,
  -Biznes,1127874.17,700038.17,9620,0,86500,331716,0,0,,,,,,,
  -İstehlak,1927243.63,1888274.63,38969,0,0,0,0,0,,,,,,,
  -Daşınmaz əmlak,492568.99,0,0,0,492568.99,0,0,0,,,,,,,
  -Digər kreditlər,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,
,,0,0,,,,,,,,,,,,
