1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən az olmamalıdır),"627,067"
a) Adi səhmlər (tam ödənilmiş paylar),"205,850"
b) Qeyri-kumulyativ müddətsiz imtiyazlı səhmlər,"60,000"
c) Səhmlərin emissiyasından əmələ gələn əlavə vəsait,800
"d) Bölüşdürülməmiş xalis mənfəət (zərər), cəmi","360,417"
d1) əvvəlki illərin mənfəəti (zərəri),"340,347"
d2) (çıx) cari ilin zərəri,-
d3) kapital ehtiyatları (fondları),"20,070"
e) Digər,-
2. I dərəcəli kapitaldan tutulmalar,"26,241"
a) Qeyri-maddi aktivlər,"26,241"
b) Təxirə salınmış vergi aktivləri,-
3. Tutulmalardan sonra I dərəcəli kapitalı (I—2),"600,826"
4. II dərəcəli kapital (I dərəcəli kapitalın məbləğindən çox olmamalıdır),"240,073"
a) Cari ilin mənfəəti,"146,691"
"b) Ümumi ehtiyatlar (aktivlər üzrə yaradılmış adi ehtiyatlardan çox
olmamaqla)","40,682"
c) Kapitalın digər komponentləri,"52,700"
c1) kumulyativ müddətsiz imtiyazlı səhmlər,-
c2) subordinasiya borc öhdəlikləri,"52,700"
d) Digər vəsaitlər,-
5. Məcmu kapital (3+4),"840,900"
6. Məcmu kapitaldan tutulmalar :,"66,998"
"a) Birləşməmiş (konsolidasiya olunmamış) törəmə banka və digər maliyyə
idarələrinin kapitalına və bütün qeyri-bank müəssisələrinə kapital
investisiyaları, o cümlədən qarşılıqlı investisiyalar (xalis)","55,534"
b) Bütün digər investisiyalar (xalis),"11,464"
7. Tutulmalardan sonra məcmu kapital (5-6),"773,901"
8. Risk dərəcəsi üzrə ölçülmuş yekun aktivlər*,"5,203,185"
8.1. 0%-lik risk qrupuna daxil olan aktivlər,-
8.2. 20%-lik risk qrupuna daxil olan aktivlər,"405,230"
8.3. 35%-lik risk qrupuna daxil olan aktivlər,"100,317"
8.4. 50%-lik risk qrupuna daxil olan aktivlər,"749,420"
8.5. 75%-lik risk qrupuna daxil olan aktivlər,-
8.6. 100%-lik risk qrupuna daxil olan aktivlər,"1,674,734"
8.7. 100%-dən yuxarı risk qrupuna daxil olan aktivlər,"2,273,484"
