2,I dərəcəli kapitaldan  tutulmalar,24340
3.0,Tutulmalardan  sonra I dərəcəli kapitalı (1 - 2),405393
4.0,II dərəcəli  kapital,233086
5.0,Məcmu kapital (3+4),638479
6.0,Məcmu kapitaldan tutulmalar :,15525
7.0,Tutulmalardan sonra məcmu kapital (5-6),622954
8.0,Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər,4019551
,,faizlə
9.0,I dərəcəli  kapitalın  adekvatlıq əmsalı (3:8) x 100,10
10.0,Məcmu kapitalın  adekvatlıq  əmsalı (7:8) x 100,15
