Bank kapitalının strukturu və adekvatlığı barədə məlumatlar,
,(min manatla)
1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən  az olmamalıdır),389971.40
a) Adi səhmlər (tam ödənilmiş paylar),185850.00
b) Qeyri-kumulyativ müddətsiz imtiyazlı səhmlər,40000.00
c) Səhmlərin emissiyasından əmələ gələn  əlavə vəsait,800.00
"d)   Bölüşdürülməmiş xalis mənfəət (zərər), cəmi",163321.40
d1) əvvəlki illərin mənfəəti (zərəri),143250.98
d2) (çıx) cari ilin zərəri,0.00
d3) kapital ehtiyatları (fondları),20070.42
e) Digər,0.00
2. I dərəcəli kapitaldan  tutulmalar,24044.88
a) Qeyri-maddi aktivlər,24044.88
b) Təxirə salınmış vergi aktivləri,0.00
3. Tutulmalardan  sonra I dərəcəli kapitalı (I—2),365926.52
4. II dərəcəli  kapital (I dərəcəli  kapitalın  məbləğindən çox olmamalıdır),112639.05
a) Cari ilin mənfəəti,74893.35
b) Ümumi ehtiyatlar (aktivlər üzrə yaradılmış adi ehtiyatlardan çox,29245.70
c)  Kapitalın digər komponentləri,8500.00
c1) kumulyativ müddətsiz imtiyazlı səhmlər,0.00
c2) subordinasiya borc öhdəlikləri,8500.00
d) Digər vəsaitlər,0.00
5. Məcmu kapital (3+4),478565.57
6. Məcmu kapitaldan tutulmalar :,8320.42
a)   Birləşməmiş (konsolidasiya olunmamış) törəmə banka və digər maliyyə,2750.00
b)    Bütün digər investisiyalar (xalis),5570.42
7. Tutulmalardan  sonra məcmu kapital (5-6),470245.15
8. Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər*,2456197.24
8.1. 0%-lik risk qrupuna daxil olan aktivlər,0.00
8.2. 20%-lik risk qrupuna daxil olan aktivlər,126653.00
8.3. 35%-lik risk qrupuna daxil olan aktivlər,17505.81
8.4. 50%-lik risk qrupuna daxil olan aktivlər,396239.27
8.5.  75%-lik risk qrupuna daxil olan aktivlər,3152.00
8.6.  100%-lik risk qrupuna daxil olan aktivlər,1900648.16
8.7. 100%-dən yuxarı risk qrupuna daxil olan aktivlər,11999.00
"*risk qruplarının tərkibi ""Bank kapitalının və onun adekvatlığının hesablanması Qaydaları"" ilə müəyyən",
