Sabit və dəyişkən faizi olan aktiv və öhdəliklərin təsnifatı,Unnamed: 1,Unnamed: 2,Unnamed: 3
(min manatla),,,
Aktivlərin   maddələri,(Hesabat ili qeyd edilsin),,
,,,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda, bankomatlarda və mübadilə şöbələrində olan nağd vəsaitlər daxil olmaqla), cəmi",0,0,537732.67
"2. Mərkəzi Bankda müxbir hesab, cəmi",0,0,630463.62
"3. ""Nostro"" hesabları (başqa banklardakı müxbir hesabları), cəmi ",0,0,76601.36
        a) Rezident banklar,0,0,12647.31
        b) Qeyri-rezident banklar,0,0,63954.049999999996
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan vəsaitlər), cəmi",357000,0,0
        a) Rezident banklar,0,0,0
        b) Qeyri-rezident banklar,357000,0,0
"5. Banklar da daxil olmaqla, maliyyə institutlarındakı depozitlər, cəmi ",293210.66000000003,0,0
"5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər istisna edilməklə), cəmi",293210.66000000003,0,0
a) Rezident banklar,145686.93,0,0
b) Qeyri-rezident banklar,147523.73,0,0
"5.2 Digər maliyyə institutlarında depozitlər, cəmi",0,0,0
a) Rezident maliyyə institutlarında,0,0,0
b) Qeyri-rezident maliyyə institutlarında,0,0,0
6. Əks REPO əməliyyatları üzrə ,0,0,0
"7. Qiymətli kağızlar, cəmi ",455455.8599999999,0,0
a) ödəniş müddətinədək saxlanılan,116758.29999999999,0,0
b) ticarət üçün alınmış qiymətli kağızlar,338697.55999999994,0,0
"8. Banklara kreditlər (5-ci sətir üzrə banklararası qısamüddətli maliyyə alətləri istisna olmaqla), cəmi",8500,0,0
a) Rezident banklara,0,0,0
b) Qeyri-rezident banklara,8500,0,0
"9. Digər maliyyə institutlarına kreditlər, cəmi",145.32000000000002,0,0
a) Rezident maliyyə institutlarına,145.32000000000002,0,0
b) Qeyri-rezident maliyyə institutlarına,0,0,0
10. Müştərilərə verilən kreditlər,1777402.47,0,0
"11. Könəlmə çıxılmaqla bank işində istifadə olunan əsas vəsaitlər, cəmi",0,0,56378.65
"12. Bank işində istifadə olunmayan daşınmaz əmlak (ehtiyatlar çıxılmaqla), cəmi ",-,0,1338.225
"13. İcmallaşmamış törəmə təsərrüfat cəmiyyətlərdə iştirak (50%+1 səs hüququ verən səhm və ya başqa formada törəməsidirsə), cəmi",0,0,500
"14. Digər təsərrüfat cəmiyyətlərində iştirak (50%-dən az), cəmi",0,0,5570.42
15. Amortizasiya çıxılmaqla qeyri-maddi aktivlər,0,0,22839.987500000003
17. Digər aktivlər ,0,0,217153.0575
18. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün yaradılmış ehtiyatlar,339452.47500000003,0,0
18. Cəmi aktivlər,2891714.31,0,1461950.7075
,,,
(min manatla),,,
Öhdəliklərin maddələri,(Hesabat ili qeyd edilsin),,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Depozitlər (banklar və digər maliyyə institutları istisna olmaqla), cəmi",1128222.8399999999,0,2065333.7400000002
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",11796.86,0,465334.21
a1) faizsiz tələbli depozitlər,0,0,465334.21
a2) faizli tələbli depozitlər,11796.86,0,0
"b) Hüquqi şəxslərin tələbli depozitləri (qeyri-bank maliyyə institutlarının cari hesabları da daxil olmaqla), cəmi",163536.71,0,1822196.55
b1) faizsiz tələbli depozitlər,0,0,1822196.55
b2) faizli tələbli depozitlər,163536.71,0,0
"c) Fiziki və hüquqi şəxslərin müddətli depozitləri, cəmi",773131.72,0,0
        c1) fiziki şəxslərin müddətli depozitləri,508022.92999999993,0,0
        c2) hüquqi şəxslərin müddətli depozitləri,265108.79,0,0
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",2159.87,0,0
a) auksion əsasında,0,0,0
b) overdraft,0,0,0
c) təminatlı kreditlər (lombard),0,0,0
d) digər,2159.87,0,0
"3. Digər bankların tələbləri (“Loro"" hesabları), cəmi",0,0,703.03
a) Rezident banklar,0,0,647.9
b) Qeyri-rezident banklar,0,0,55.13
4. REPO əməliyyatları  üzrə,0,0,0
"5. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan kreditlər), cəmi",0,0,0
        a) Rezident banklar,0,0,0
        b) Qeyri-rezident banklar,0,0,0
"6. Bankların və digər maliyyə institutların (3-cü və 5-ci sətirlər istisna edilməklə) depozitləri, cəmi",126473.02,0,0
"6.1  Bankların depozitləri, cəmi",0,0,0
a) Rezident banklar,0,0,0
b) Qeyri-rezident banklar,0,0,0
"6.2 Banklar istisna olmaqla, digər maliyyə institutlarının depozitləri, cəmi",126473.02,0,0
a) Rezident maliyyə institutları,126473.02,0,0
b) Qeyri-rezident maliyyə institutları,0,0,0
"7. Bankların kreditləri (7 gündən artıq olan müddətə), cəmi",0,0,0
"7.1 Rezident banklar, cəmi",0,0,0
a) təminatlı,0,0,0
b) təminatsız,0,0,0
