A.    Aktivlər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
a2) qaytarılma müddəti bitmiş depozitlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
b) Qeyri-rezident maliyyə institutlarına,"3,731.67","3,731.67","11,900.00","11,900.00",0.00,0.00,0.00,0.00,"34,000.00","34,000.00","8,500.00","8,500.00","8,500.00","8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,210.62","11,210.62",0.00,0.00,0.00,0.00,0.00,0.00,"77,842.29","77,842.29"
b1) müddəti çatmamış depozitlər,"3,731.67","3,731.67","11,900.00","11,900.00",0.00,0.00,0.00,0.00,"34,000.00","34,000.00","8,500.00","8,500.00","8,500.00","8,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,210.62","11,210.62",0.00,0.00,0.00,0.00,0.00,0.00,"77,842.29","77,842.29"
b2) qaytarılma müddəti bitmiş depozitlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
6. Əks REPO əməliyyatları üzrə,"13,965.60",0.00,0.00,0.00,"21,331.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"35,297.52",0.00
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqlaqiymətli kağızlara investisiyalar",0.00,0.00,0.00,0.00,0.00,0.00,15.30,15.30,210.80,210.80,"3,580.20","3,580.20",85.00,85.00,"1,549.10",0.00,"3,400.00","3,400.00",875.50,875.50,"5,358.20",722.50,"16,238.00",510.00,0.00,0.00,"16,123.00",875.50,"11,437.50",850.00,"39,269.37","11,369.35","10,241.90",0.00,"34,000.00","34,000.00","5,100.00","5,100.00","147,483.87","61,594.15"
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqlaticarət üçün qiymətli kağızlar",0.00,0.00,"32,710.86",0.00,0.00,0.00,0.00,0.00,"36,232.14",0.00,"25,282.93",0.00,"38,549.92",0.00,"33,847.81",0.00,0.00,0.00,"12,146.61",0.00,"14,318.19",0.00,0.00,0.00,"2,570.45",0.00,"3,000.41",0.00,"2,999.99",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"20,000.00",0.00,"221,659.31",0.00
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətlimaliyyə alətləri istisna olmaqla, banklara kreditlər",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"8,500.00","8,500.00"
a) cari kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"8,500.00","8,500.00"
a1) Rezident banklara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a2) Qeyri-rezident banklara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00","8,500.00",0.00,0.00,0.00,0.00,"8,500.00","8,500.00"
b) vaxtı keçmiş  kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
b1) Rezident banklara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
b2) Qeyri-rezident banklara,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisnaolmaqla, digər maliyyə institutlarına kreditlər",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,"8,500.00"
a) cari kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,"8,500.00"
a1) Rezident,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
a2) Qeyri-rezident,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,500.00",0.00,0.00,0.00,0.00,0.00,"8,500.00"
b) vaxtı keçmiş  kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
b1)Rezident,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
b2) Qeyri-rezident,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00
11. Müştərilərə verilən kreditlər,"28,890.00","1,662.51","2,799.55",69.35,"7,844.59",122.51,"32,583.52","4,163.25","84,121.72","15,847.74","60,334.86","2,694.21","50,313.41","2,584.47","48,927.09","3,661.20","43,735.07","1,832.76","47,143.18","2,377.74","45,184.05","5,105.24","51,171.84","8,647.60","70,080.44","25,059.95","39,334.00",104.91,"51,982.65","2,400.77","659,012.88","40,896.35","361,695.19","102,593.66","247,755.44","190,507.24","109,162.54","12,797.59","2,042,072.02","423,129.05"
a) cari kreditlər,"28,890.00","1,662.51","2,799.55",69.35,"7,844.59",122.51,"32,583.52","4,163.25","84,121.72","15,847.74","60,334.86","2,694.21","50,313.41","2,584.47","48,927.09","3,661.20","43,735.07","1,832.76","47,143.18","2,377.74","45,184.05","5,105.24","51,171.84","8,647.60","70,080.44","25,059.95","39,334.00",104.91,"51,982.65","2,400.77","659,012.88","40,896.35","361,695.19","102,593.66","247,755.44","190,507.24","51,171.72",519.12,"1,984,081.20","410,850.58"
b) vaxtı keçmiş kreditlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"57,990.82","12,278.47","57,990.82","12,278.47"
"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işindəistifadə olunmayan əsas vəsaitlər daxil olmaqla)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"56,329.45",0.00,"56,329.45",0.00
"13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyəiştirakı",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,320.42","4,782.00","8,320.42","4,782.00"
14. Qeyri-maddi aktivlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"24,044.88",0.00,"24,044.88",0.00
15. Digər aktivlər,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"233,104.13","22,793.70","233,104.13","22,793.70"
"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsiüçün məqsədli ehtiyatlar",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"329,122.92","2,366.69","329,122.92","2,366.69"
17. Cəmi aktivlər,"1,163,579.47","578,503.41","378,293.11","326,469.35","192,931.78",122.51,"39,332.83","4,178.55","173,349.66","51,843.54","165,302.99","15,879.41","102,997.45","16,718.59","84,825.50","4,162.70","50,399.73","8,497.42","77,744.62","3,832.57","75,084.70","6,052.00","77,409.84","9,157.60","99,592.39","29,901.45","78,882.41","1,405.41","75,480.78","3,811.41","763,484.18","77,467.63","380,437.09","119,593.66","281,755.44","224,507.24","151,774.29","55,082.07","4,412,658.26","1,537,186.52"
