,ani,,1-7,,8-14,,15-30,,31-60 ,,61-90 ,,91-120 ,,121-150 ,,151-180 ,,181-210 ,,211-240 ,,241-270 ,,271-300 ,,301-330 ,,331-365 (366) ,,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
assets,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV ilə (manat ekv.)"
,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZNEqui-8-14,tot-15-30,FXAZNEqui-15-30,tot-31-60,FXAZNEqui-31-60,tot-61-90,FXAZNEqui-61-90,tot-91-120,FXAZNEqui-91-120,tot-121-150,FXAZNEqui-121-150,tot-151-180,FXAZNEqui-151-180,tot-181-210,FXAZNEqui-181-210,tot-211-240,FXAZNEqui-211-240,tot-241-270,FXAZNEqui-241-270,tot-271-300,FXAZNEqui-271-300,tot-301-300,FXAZNEqui 301-330,tot-331-365,FXAZNEqui-331-365,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
,ani,,1-7,,8-14,,15-30,,31-60 ,,61-90 ,,91-120 ,,121-150 ,,151-180 ,,181-210 ,,211-240 ,,241-270 ,,271-300 ,,301-330 ,,331-365 (366) ,,1-2 il,,2-3 il,,3-5 il,,5 ildən artıq,,Cəmi,
liaAndCap,Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,XV (manat ekv.),Cəmi,"o cümlədən, XV ilə (manat ekv.)"
,tot-insLia,FXAZNEqui-insLia,tot-0.25,FXAZNEqui-0.25,tot-0.5,FXAZNEqui-0.5,tot-1,FXAZNEqui-1,tot-2,FXAZNEqui-2,tot-3,FXAZNEqui-3,tot-4,FXAZNEqui-4,tot-5,FXAZNEqui-5,tot-6,FXAZNEqui-6,tot-7,FXAZNEqui-7,tot-8,FXAZNEqui-8,tot-9,FXAZNEqui-9,tot-10,FXAZNEqui-10,tot-11,FXAZNEqui-11,tot-12,FXAZNEqui-12,tot-24,FXAZNEqui-24,tot-36,FXAZNEqui-36,tot-60,FXAZNEqui-60,tot>60,FXAZNEqui>60,tot-totLia,FXAZNEqui-totLia
"1. Depozitlər (banklar və digər maliyyə müəssisələri istisna olmaqla), cəmi",5320875.92,633898.84,2945.0699999999997,322.1,5632.740000000002,905.8199999999999,52360.73,3194.4100000000003,43824.12999999999,3760.6200000000003,93218.9,3578.22,19658.77999999999,5973.73,57386.38,6703.010000000003,21615.300000000007,7332.390000000001,136124.25999999995,5299.069999999999,72255.06,4553.81,286280.02999999997,189788.88,57700.25999999998,4888.489999999999,50228.03999999998,4528.32,55914.950000000004,19546.309999999998,120414.66000000003,33934.64000000001,86476.50999999998,3951.92,183.94,0,0,0,6483095.660000001,932160.5799999998
a) fiziki şəxslərin tələbli depozitlər,1329709.82,213093.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329709.82,213093.93
b) hüquqi şəxslərin tələbli depozitləri (bütün cari (qeyri-bank maliyyə institutlarının cari hesabları da daxil olmaqla) və çek hesabları  daxil olmaqla),3991165.6,420804.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3991165.6,420804.41
c) qaytarılma vaxtı bitməmiş fiziki şəxslərin müddətli depozitlər ,0.5,0.5,2945.0699999999997,322.1,3632.740000000001,905.8199999999999,11510.730000000001,2344.4100000000003,17824.12999999999,3760.6200000000003,23718.899999999987,3578.22,19158.77999999999,5973.73,53386.38,6703.010000000003,19495.300000000007,7332.390000000001,32124.259999999962,5299.069999999999,22055.059999999998,4553.81,42518.42999999998,21927.280000000002,32700.259999999984,4888.489999999999,30228.039999999975,4528.32,45481.8,9113.16,87514.66000000003,13534.640000000007,86476.50999999998,3951.92,183.94,0,0,0,530955.4899999999,98717.49000000003
d) qaytarılma vaxtı bitməmiş hüquqi şəxslərin müddətli depozitlər ,0,0,0,0,2000,0,40850,850,26000,0,69500,0,500,0,4000,0,2120,0,104000,0,50200,0,243761.6,167861.6,25000,0,20000,0,10433.15,10433.15,32900,20400,0,0,0,0,0,0,631264.75,199544.75
e) qaytarılma müddəti bitmiş fiziki şəxslərin müddətli depozitlər ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f) qaytarılma müddəti bitmiş hüquqi şəxslərin müddətli depozitlər ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
