"Kreditlərin, həmçinin vaxtı keçmiş kreditlərin portfeldə payı və onun iqtisadi sektorlar üzrə göstəriciləri",Unnamed: 1,Unnamed: 2,Unnamed: 3
Kreditlərin iqtisadi sektorlar üzrə bölgüsü,Cəmi   (min manatla),Vaxtı keçmiş kreditlər (min manatla)*,Vaxtı keçmiş kreditlərin portfeldə payı (faizlə)
"Cəmi kredit portfeli, o cümlədən",1821222.4900000002,43820.020000000004,0.03
1.Sənaye ,53523.64,1952.7099999999998,0
1.1.1 Mədən çıxarma sənayesi,0,0,0
"1.1.2 Emal sənayesi, cəmi",10846.59,48.24,0
1.1.3 Elektrik enerjisi və Qazın istehsalı ,1416.24,0,0
1.1.4 Sənayenin digər sahələri,41260.81,0,0
2. Kənd təsərrüfatı,19407.24,12124.04,0.01
3. Tikinti sahəsi,82290.34,155.64,0
"4. Nəqliyyat, cəmi",48055.28,0,0
5. İnformasiya və Rabitə,59198.07,9.11,0
"6. Ticarət müəssisələrinə kredit, cəmi",66964.65,2643,0
7. Digər qeyri-istehsal və xidmət sahələri ,104452.35,385.15999999999997,0
8.  Mərkəzi idarəetmə orqanları və bələdiyyələr,0,0,0
   9. İctimai Təşkilatlara,0,0,0
"   10. Şəxsi, ailəvi və sair məqsədlər üçün fiziki şəxslərə kreditlər, cəmi",1387330.9200000002,26550.36,0.02
a) Yaşayış sahəsinin alınmasına,52541.00999999999,1204.6200000000001,0
"a1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",52541.00999999999,1204.6200000000001,0
b) Yaşayış sahəsinin tikintisi və təmirinə,0,0,0
"b1) o cümlədən, daşınmaz əmlakla təmin olunmuş ",0,0,0
c) Avtomobil alınmasına,0,0,0
d) Məişət avadanlıqlarının alınmasına,0,0,0
e) Kredit kartları,273999.86000000004,5048.390000000001,0
f) Digər,1060790.05,20297.35,0.02
    11. Digər Kreditlər,0,0,0
"*əsas məbləğ, yaxud ona hesablanan faizlər və ya hər hansı birinin ödənilməyən hissəsi üzrə ödənişləri müqavilədə və ya ödəniş qrafikində göstərilən tarixdən 30 (otuz) təqvim günündən artıq gecikdirilmiş kreditin qalıq məbləği",,,
