Faiz riski,Unnamed: 1,min manatla
1.0,Faiz dərəcəsinə görə cəmi aktivlər,2857956.14
1.1,0-3 ay,1064396.34
1.2,3-6 ay,303090.57
1.3,6-12 ay,403796.0
1.4,12-24 ay,476941.2900000001
1.5,24-36 ay,350278.94
1.6,36 aydan yuxarı,259453.0
2.0,Faiz dərəcəsinə həssas cəmi öhdəliklər,1712128.1900000002
2.1,0-3 ay,391078.5299999999
2.2,3-6 ay,633171.9900000001
2.3,6-12 ay,297317.0
2.4,12-24 ay,201112.6700000002
2.5,24-36 ay,93296.99999999999
2.6,36 aydan yuxarı,96151.0
3.0,“Qəp”,1145827.95
3.1,0-3 ay,673317.8100000002
3.2,3-6 ay,-330081.4200000001
3.3,6-12 ay,106479.0
3.4,12-24 ay,275828.6199999999
3.5,24-36 ay,256981.94
3.6,36 aydan yuxarı,163302.0
