Valyuta riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,min manatla,Unnamed: 6
,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər
1,Aktivlər,4072937.03,2885279.8200000003,1090589.03,92159.99,4908.19
1.1,Nağd və nağd pul ekvivalentləri,1244797.65,947423.97,220568.12,71924.49,4881.07
1.2,Qiymətli kağızlar,455479.79000000004,294095.9,161383.89,0,0
1.3,Müştərilərə verilmiş kreditlər,1516896.7300000002,1304610.4300000002,195275.56,17010.74,0
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər,212772.97999999998,77952.41999999998,134820.56,0,0
1.5,Törəmə maliyyə alətləri,0,0,0,0,0
1.6,Qısa müddətli maliyyə alətləri,357000,0,357000,0,0
1.7,Əsas vəsaitlər,55932.58,55932.58,0,0,0
1.8,Digər aktivlər,230057.30000000002,205264.52,21540.9,3224.76,27.12
2,Öhdəliklər,3717565.05,2534100.77,1091634.95,89568.78000000001,2260.5499999999997
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,2159.87,2159.87,0,0,0
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,214107.52000000002,90506.36,113415.14,9517.5,668.52
2.3,Müştərilərin depozitləri,3248383.36,2262104.38,905310.05,79379.62000000001,1589.31
2.3.1,a) tələbli depozitlər,2455972.63,1884319.28,491171.80000000005,78892.24,1589.31
2.3.2,b) müddətli depozitlər,792410.73,377785.10000000003,414138.25,487.38,0
2.4,Subordinasiya öhdəlikləri,0,0,0,0,0
2.5,Borc qiymətli kağızları,0,0,0,0,0
2.6,Digər öhdəliklər,252914.3,179330.16,72909.76,671.66,2.72
faizlə,,,,,,
3,Açıq valyuta mövqeyi əmsalı,0.024300000000000002,0,0.013285255418970084,0.0038006023932622636,0.0072
3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),0.0205,0,0.013285255418970084,0.0038006023932622636,0.0034
3.2,Qapalı valyuta üzrə məcmu AVM,0.0038,0,0,0,0.0038
3.3,Qiymətli metallar üzrə AVM,0,0,0,0,0
3.4,Məcmu AVM,0.024300000000000002,0,0.013285255418970084,0.0038006023932622636,0.0072
