"","Maliyyə vəziyyəti haqqında hesabat","",""
"","","","min manatla"
"","","","Keçən ilin müvafiq"
"","finSitStatem","Hesabat dövrü",""
"","","","dövrü"
"","","30.9.2022","30.9.2021"
"1","Aktivlər:","7 721 463","5 916 038"
"1,1","Nağd pul vəsaitləri və  ekvivalentləri, o cümlədən bloklaşdırılmış nağd vəsait","1 736 657","1 774 132"
"1,2","Ticarət və investisiya qiymətli kağızları","1 934 666","1 029 267"
"1,3","Banklar və digər maliyyə institutlarındakı depozitlər","729 376","623 777"
"1,4","Banklar və digər maliyyə institutlarına verilən kreditlər","70 878","22 625"
"1,5","Müştərilərə verilmiş kreditlər","3 234 143","2 472 023"
"1.5.1","a) istehlak kreditləri","1 866 657","1 539 605"
"1.5.2","b) biznes kreditləri","992 120","654 014"
"1.5.3","c) daşınmaz əmlak kreditləri","375 366","278 404"
"1.5.4","d) digər kreditlər","0","0"
"1.5.5","(Mümkün zərərlər üçün yaradılan məqsədli ehtiyat)","-378 910","-350 694"
"1.5.6 Müştərilərə verilmiş kreditlər (xalis)","","2 855 233","2 121 328"
"1,6","Əmlak və avadanlıqlar","68 460","62 833"
"1,7","Qeyri-maddi aktivlər","27 471","24 340"
"1,8","Təxirə salınmış vergi aktivləri","8 482","8 793"
"1,9","Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat","-5 504","-23 976"
"1.10","Digər aktivlər","295 745","272 919"
"2","Öhdəliklər:","7 005 390","5 315 888"
"2,1","Depozitlər","6 180 921","4 558 804"
"2.1.1","a) fiziki şəxslərin depozitləri","1 924 846","1 279 427"
"2.1.2","b) hüquqi şəxslərin depozitləri","4 256 075","3 279 377"
"2,2","Mərkəzi bank və dövlət fondları qarşısında öhdəliklər","1 620","2 160"
"2,3","Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər","512 438","417 698"
"2,4","Borc qiymətli kağızları","0","0"
"2,5","Cari vergi öhdəlikləri","6 542","15 956"
"2,6","Təxirə salınmış vergi öhdəliyi","0","0"
"2,7","Subordinasiya borc öhdəlikləri","68 000","68 000"
"2,8","Digər öhdəliklər","235 870","253 271"
"3","Kapital:","716 073","600 150"
"3,1","Səhmdar kapitalı","245 850","245 850"
"3,2","Səhmin qiymətinin dəyişməsindən gəlir (zərər)","800","800"
"3,3","Bölüşdürülməmiş mənfəət","420 379","318 264"
"3,40","Ümumi ehtiyatlar:","49 044","35 237"
"3.4.1","a) kreditlər, lizinqlər və digər tələblər üzrə mümkün zərərlərin ödənilməsi üçün adi ehtiyatlar","41 550","29 905"
"3.4.2","b) əsas vəsaitlərin qiymətləndirilməsindən adi ehtiyatlar","1 338","1 435"
"3.4.3","c) digər ümumi ehtiyatlar","6 155","3 897"
"4","Cəmi öhdəliklər və kapital","7 721 463","5 916 038"
