"","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi","XV (manat ekv.)","Cəmi",""
"a) Rezident banklara","3 110","3 110","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","3 110","3 110"
"b) Qeyri-rezident banklara","61 344","61 344","0","0","0","","0","170","","170","269","","269","1 631","","1 631","2 423","","2 423","0","","0","7 509","","7 509","340","","340","35","","35","0","","0","0","","0","340","","340","2 471","","2 471","0","0","0","0","0","0","0","0","76 533","76 533"
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0"
"daxil olmaqla 7 günədək olanlar)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Banklar daxil da olmaqla, maliyyə institutlarına depozitlər, cəmi","9 807","9 807","77 454","52 454","0","","0","0","","0","0","","0","0","","0","0","","0","2 000","","0","34 000","","0","25 500","","0","8 500","","0","18 500","","0","20 000","","0","0","","0","303 000","","0","54 000","0","35 075","0","0","0","0","0","587 836","62 261"
"a) Rezident maliyyə institutlarına","0","0","25 000","0","0","","0","0","","0","0","","0","0","","0","0","","0","2 000","","0","34 000","","0","25 500","","0","8 500","","0","18 500","","0","20 000","","0","0","","0","303 000","","0","54 000","0","35 075","0","0","0","0","0","525 575","0"
"a1) müddəti çatmamış depozitlər","0","0","25 000","0","0","","0","0","","0","0","","0","0","","0","0","","0","2 000","","0","34 000","","0","25 500","","0","8 500","","0","18 500","","0","20 000","","0","0","","0","303 000","","0","54 000","0","35 075","0","0","0","0","0","525 575","0"
"a2) qaytarılma müddəti bitmiş depozitlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","","","0","0"
"b) Qeyri-rezident maliyyə institutlarına","9 807","9 807","52 454","52 454","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","62 261","62 261"
"b1) müddəti çatmamış depozitlər","9 807","9 807","52 454","52 454","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","62 261","62 261"
"b2) qaytarılma müddəti bitmiş depozitlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","","","0","0"
"6. Əks REPO əməliyyatları üzrə","0","0","21 269","0","17 006","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","23 622","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","61 897","0"
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətli","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","19 954","0","12 794","","0","28 363","","0","246 324","","850","93 638","","86 615","151 253","","86 161","75 719","","0","20 259","","15","19 985","","0","30 360","","0","3 886","","374","33 479","","0","959","","0","15 977","","0","411 325","238 442","235 950","113 120","219 017","118 847","5 325","0","1 624 566","644 424"
"kağızlara investisiyalar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçün","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","0","0","0","","0","0","","0","20 000","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","82 032","","82 032","0","0","0","0","0","0","213 952","0","315 984","82 032"
"qiymətli kağızlar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","17 000","","0","0","","0","0","","0","0","","0","40 000","","0","8 500","","8 500","0","","0","0","0","0","0","0","0","0","0","65 500","8 500"
"istisna olmaqla, banklara kreditlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a) cari kreditlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","17 000","","0","0","","0","0","","0","0","","0","40 000","","0","8 500","","8 500","0","","0","0","0","0","0","0","0","0","0","65 500","8 500"
"a1) Rezident banklara","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","17 000","","0","0","","0","0","","0","0","","0","40 000","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","57 000","0"
"a2) Qeyri-rezident banklara","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","8 500","","8 500","0","","0","0","0","0","0","0","0","0","0","8 500","8 500"
"b) vaxtı keçmiş  kreditlər","0","0","0","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0","0"
