,,,min manatla
,,,Keçən ilin müvafiq
,,Cari dövr,
,,,dövrü
,,30.09.2022,30.09.2021
1,Faiz gəlirləri:,445345,347661
"1,1",Müştərilərə verilmiş kreditlər,358956,281296
"1,2",Banklar və digər maliyyə institutlarına verilən kreditlər üzrə faiz gəlirləri,5521,7581
"1,3",Banklar və digər maliyyə institutlarındakı depozitlər üzrə faiz gəlirləri,11297,6392
"1,4",Ticarət və investisiya qiymətli kağızları üzrə faiz gəlirləri,63892,46727
"1,5",Digər faiz gəlirləri,5678,5665
2,Faiz xərcləri:,61405,49558
"2,1",Depozitlər üzrə faizlər,43978,37712
"2,2",Mərkəzi bank və dövlət fondları qarşısında öhdəliklər üzrə faiz xərcləri,1,1
"2,3",Cəlb edilmiş kreditlərə görə ödənilən faizlər,7183,5408
"2,4",Pul bazarı alətlərinə ödənilən faizlər,0,0
"2,5",Qiymətli kağızlar üzrə faizlər,0,0
"2,6",Digər faiz xərcləri,10243,6438
3,Xalis faiz gəliri(zərəri),383939,298103
4,Qeyri-faiz gəlirləri:,287475,211538
"4,1",Alınan haqq və kommisiya gəliri,252637,187515
"4,2",Xarici valyutadan gəlir/zərər (məzənnə dəyişməsi daxil olmaqla,33905,21201
"4,3",Qiymətli kağızların satışından və yenidən qiymətləndirilməsindən gəlir/zərər,-2902,0
"4,4",Digər gəlirlər,3835,2823
5,Qeyri-faiz xərcləri:,331854,236789
"5,1",Əmək haqqı və digər kompensiya növləri üzrə xərclər,137835,102438
"5,2",Ümumi və inzibati xərclər,28678,22806
"5,3",Amortizasiya xərcləri,19833,17163
"5,4",Digər xərclər,145508,94381
6,Əməliyyat mənfəəti (zərəri),339561,272852
7,(Mümkün zərərlər üçün yaradılan məqsədli ehtiyatlar),71816,100927
8,Mənfəət vergisindən əvvəlki mənfəət(zərər),267745,171925
9,Mənfəət vergisi,57136,36744
10,Dövr üzrə xalis mənfəət,210609,135181
