,,,(min manatla)
Aktivlərin   maddələri,(Hesabat ili qeyd edilsin),,
,sabit faizlə,dəyişkən faizlə,faizsiz
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda,",,,
bankomatlarda və mübadilə şöbələrində olan nağd,,,"989,305"
"vəsaitlər daxil olmaqla), cəmi",,,
"2. Mərkəzi Bankda müxbir hesab, cəmi",,,"1,660,397"
"3. ""Nostro"" hesabları (başqa banklardakı müxbir",-,-,"113,977"
"hesabları), cəmi",,,
a) Rezident banklar,,,"14,181"
b) Qeyri-rezident banklar,,,"99,795"
4. Banklararası bazarın qısamüddətli maliyyə,,,
"alətləri (7-ci gün də daxil olmaqla, 7 günədək olan","461,902",,
"vəsaitlər), cəmi",,,
a) Rezident banklar,-,-,-
b) Qeyri-rezident banklar,"461,902",-,-
"5. Banklar da daxil olmaqla, maliyyə","126,954",-,-
"institutlarındakı depozitlər, cəmi",,,
5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər,"104,560",-,-
"istisna edilməklə), cəmi",,,
a) Rezident banklar,"104,560",-,-
b) Qeyri-rezident banklar,-,-,-
"5.2 Digər maliyyə institutlarında depozitlər, cəmi","22,394",-,-
a) Rezident maliyyə institutlarında,-,-,-
b) Qeyri-rezident maliyyə,"23,758",-,-
6. Əks REPO əməliyyatları üzrə,"477,429",-,-
"7. Qiymətli kağızlar, cəmi","1,083,241",-,-
a) ödəniş müddətinədək,"934,778",-,-
b) ticarət üçün alınmış qiymətli,"148,463",-,-
8. Banklara kreditlər (5-ci sətir üzrə banklararası,"16,150",-,-
"qısamüddətli maliyyə alətləri istisna olmaqla), cəmi",,,
a) Rezident banklara,-,-,-
b) Qeyri-rezident banklara,"16,150",-,-
"9. Digər maliyyə institutlarına kreditlər, cəmi","8,057",-,-
a) Rezident maliyyə institutlarına,"8,057",-,-
b) Qeyri-rezident maliyyə,-,-,-
10. Müştərilərə verilən kreditlər,"4,689,105",-,-
11. Könəlmə çıxılmaqla bank işində istifadə olunan,-,-,-
"əsas vəsaitlər, cəmi",,,
12. Bank işində istifadə olunmayan daşınmaz əmlak,-,-,-
"(ehtiyatlar çıxılmaqla), cəmi",,,
13. İcmallaşmamış törəmə təsərrüfat,,,
cəmiyyətlərdə iştirak (50%+1 səs hüququ verən,-,-,-
"səhm və ya başqa formada törəməsidirsə), cəmi",,,
14. Digər təsərrüfat cəmiyyətlərində iştirak (50%-,-,-,-
"dən az), cəmi",,,
15. Amortizasiya çıxılmaqla qeyri-maddi aktivlər,-,-,-
17. Digər aktivlər,-,-,"574,596"
18. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi,-,-,-
üçün yaradılmış ehtiyatlar,,,
18. Cəmi aktivlər,"6,862,838","-                             3,338,274",
,,,(min manatla)
Öhdəliklərin maddələri,(Hesabat ili qeyd edilsin),,
,sabit faizlə,dəyişkən faizlə,faizsiz
1. Depozitlər (banklar və digər maliyyə institutları,"3,736,278","-                             3,864,811",
"istisna olmaqla), cəmi",,,
"a)  Fiziki şəxslərin tələbli depozitləri, cəmi",-,-,"1,592,283"
a1) faizsiz tələbli,,,"1,592,283"
a2) faizli tələbli,-,,
b) Hüquqi şəxslərin tələbli depozitləri (qeyri-,,,
bank maliyyə institutlarının cari hesabları,"1,747,637",-,"2,272,528"
"da daxil olmaqla), cəmi",,,
b1) faizsiz tələbli,,,"2,272,528"
b2) faizli tələbli,"1,747,637",,
c) Fiziki və hüquqi şəxslərin müddətli,"1,988,641",-,-
"depozitləri, cəmi",,,
c1) fiziki şəxslərin müddətli depozitləri,"1,069,171",,
c2) hüquqi şəxslərin müddətli,"919,470",,
"2. Mərkəzi Bankın banka qarşı tələbləri, cəmi",540,-,-
a) auksion əsasında,-,-,-
b) overdraft,-,-,-
c) təminatlı kreditlər (lombard),-,-,-
d) digər,540,-,-
"3. Digər bankların tələbləri (“Loro"" hesabları), cəmi",-,"-                                     6,563",
a) Rezident banklar,-,-,"2,999"
b) Qeyri-rezident banklar,-,-,"3,564"
4. REPO əməliyyatları  üzrə,"28,089",-,-
5. Banklararası bazarın qısamüddətli maliyyə,,,
"alətləri (7-ci gün də daxil olmaqla, 7 günədək olan",-,-,-
"kreditlər), cəmi",,,
a) Rezident banklar,-,-,-
b) Qeyri-rezident banklar,-,-,-
6. Bankların və digər maliyyə institutların (3-cü və 5-,"279,821",-,-
"ci sətirlər istisna edilməklə) depozitləri, cəmi",,,
"6.1  Bankların depozitləri, cəmi","279,821",-,-
a) Rezident banklar,"279,821",-,-
b) Qeyri-rezident banklar,-,-,-
"6.2 Banklar istisna olmaqla, digər maliyyə",-,-,-
"institutlarının depozitləri, cəmi",,,
a) Rezident maliyyə institutları,-,-,-
b) Qeyri-rezident maliyyə,-,-,-
7. Bankların kreditləri (7 gündən artıq olan,"40,354",-,-
"müddətə), cəmi",,,
"7.1 Rezident banklar, cəmi","40,354",-,-
a) təminatlı,"40,354",-,-
b) təminatsız,-,-,-
"7.2 Qeyri-rezident banklar, cəmi",-,-,-
a) təminatlı,-,-,-
b) təminatsız,-,-,-
