1. I dərəcəli kapital (Əsas kapital) (Məcmu kapitalın 50 faizdən  az olmamalıdır),"785,575"
a) Adi səhmlər (tam ödənilmiş paylar),"205,850"
b) Qeyri-kumulyativ müddətsiz imtiyazlı səhmlər,"60,000"
c) Səhmlərin emissiyasından əmələ gələn  əlavə vəsait,800
"d)Bölüşdürülməmiş xalis mənfəət (zərər), cəmi","518,925"
d1) əvvəlki illərin mənfəəti (zərəri),"498,855"
d2) (çıx) cari ilin zərəri,-
d3) kapital ehtiyatları (fondları),"20,070"
e) Digər,-
2. I dərəcəli kapitaldan  tutulmalar,"30,409"
a) Qeyri-maddi aktivlər,"30,409"
b) Təxirə salınmış vergi aktivləri,-
3. Tutulmalardan  sonra I dərəcəli kapitalı (I—2),"755,166"
4. II dərəcəli  kapital (I dərəcəli  kapitalın  məbləğindən çox olmamalıdır),"293,597"
a) Cari ilin mənfəəti,"123,919"
b) Ümumi ehtiyatlar (aktivlər üzrə yaradılmış adi ehtiyatlardan çox olmamaqla),"48,978"
c)  Kapitalın digər komponentləri,"120,700"
c1) kumulyativ müddətsiz imtiyazlı səhmlər,-
c2) subordinasiya borc öhdəlikləri,"120,700"
d) Digər vəsaitlər,
5. Məcmu kapital (3+4),"1,048,763"
6. Məcmu kapitaldan tutulmalar :,"135,867"
a)Birləşməmiş (konsolidasiya olunmamış) törəmə banka və digər maliyyə idarələrinin,
"kapitalına və bütün qeyri-bank müəssisələrinə kapital investisiyaları, o cümlədən","116,753"
qarşılıqlı investisiyalar (xalis),
b)Bütün digər investisiyalar (xalis),"19,114"
7. Tutulmalardan  sonra məcmu kapital (5-6),"912,896"
8. Risk dərəcəsi üzrə ölçülmuş  yekun aktivlər*,"6,854,350"
8.1. 0%-lik risk qrupuna daxil olan aktivlər,-
8.2. 20%-lik risk qrupuna daxil olan aktivlər,"641,677"
8.3. 35%-lik risk qrupuna daxil olan aktivlər,"204,883"
8.4. 50%-lik risk qrupuna daxil olan aktivlər,"589,692"
8.5.  75%-lik risk qrupuna daxil olan aktivlər,
8.6.  100%-lik risk qrupuna daxil olan aktivlər,"2,838,679"
8.7. 100%-dən yuxarı risk qrupuna daxil olan aktivlər,"2,579,418"
