"","Maliyyə vəziyyəti haqqında hesabat","",""
"","","","min manatla"
"","","","Keçən ilin müvafiq"
"","finSitStatem","Hesabat dövrü",""
"","","","dövrü"
"","","30.06.2021","30.06.2020"
"1","Aktivlər:","5 713 775","4 870 499"
"1,1","Nağd pul vəsaitləri və  ekvivalentləri, o cümlədən bloklaşdırılmış nağd vəsait","1 877 850","1 482 831"
"1,2","Ticarət və investisiya qiymətli kağızları","1 012 163","492 057"
"1,3","Banklar və digər maliyyə institutlarındakı depozitlər","493 652","503 485"
"1,4","Banklar və digər maliyyə institutlarına verilən kreditlər","11 015","9 725"
"1,5","Müştərilərə verilmiş kreditlər","2 298 813","2 154 116"
"1.5.1","a) istehlak kreditləri","1 435 827","1 353 475"
"1.5.2","b) biznes kreditləri","599 909","608 351"
"1.5.3","c) daşınmaz əmlak kreditləri","263 077","192 290"
"1.5.4","d) digər kreditlər","0","0"
"1.5.5","(Mümkün zərərlər üçün yaradılan məqsədli ehtiyat)","-316 277","-278 532"
"1.5.6 Müştərilərə verilmiş kreditlər (xalis)","","1 982 536","1 875 584"
"1,6","Əmlak və avadanlıqlar","64 474","58 314"
"1,7","Qeyri-maddi aktivlər","24 842","23 762"
"1,8","Təxirə salınmış vergi aktivləri","9 229","0"
"1,9","Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyat","-12 837","-2 284"
"1.10","Digər aktivlər","250 851","427 026"
"2","Öhdəliklər:","5 150 448","4 361 949"
"2,1","Depozitlər","4 410 409","3 625 804"
"2.1.1","a) fiziki şəxslərin depozitləri","1 232 973","1 131 312"
"2.1.2","b) hüquqi şəxslərin depozitləri","3 177 436","2 494 492"
"2,2","Mərkəzi bank və dövlət fondları qarşısında öhdəliklər","2 160","2 160"
"2,3","Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər","375 960","424 191"
"2,4","Borc qiymətli kağızları","0","0"
"2,5","Cari vergi öhdəlikləri","17 696","46 681"
"2,6","Təxirə salınmış vergi öhdəliyi","0","0"
"2,7","Subordinasiya borc öhdəlikləri","68 000","8 500"
"2,8","Digər öhdəliklər","276 223","254 012"
"3","Kapital:","563 327","508 550"
"3,1","Səhmdar kapitalı","245 850","225 850"
"3,2","Səhmin qiymətinin dəyişməsindən gəlir (zərər)","800","800"
"3,3","Bölüşdürülməmiş mənfəət","282 854","248 877"
"3,40","Ümumi ehtiyatlar:","33 822","33 023"
"3.4.1","a) kreditlər, lizinqlər və digər tələblər üzrə mümkün zərərlərin ödənilməsi üçün adi ehtiyatlar","28 491","26 885"
"3.4.2","b) əsas vəsaitlərin qiymətləndirilməsindən adi ehtiyatlar","1 435","2 240"
"3.4.3","c) digər ümumi ehtiyatlar","3 897","3 897"
"4","Cəmi öhdəliklər və kapital","5 713 775","4 870 499"
