A.    Aktivlər,Ödəniş müddətinin başlanmasına qalmış günlər (illər),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
a) Rezident maliyyə institutlarına,0,0,25 500,0,0,0,0,0,8 500,0,37 000,0,0,0,0,0,8 500,0,8 500,0,0,0,0,0,0,0,0,0,0,0,45 500,0,20 000,0,0,0,0,0,153 500,0
a1) müddəti çatmamış depozitlər,0,0,25 500,0,0,0,0,0,8 500,0,37 000,0,0,0,0,0,8 500,0,8 500,0,0,0,0,0,0,0,0,0,0,0,45 500,0,20 000,0,0,0,0,0,153 500,0
a2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b) Qeyri-rezident maliyyə institutlarına,7 734,7 734,0,0,51 000,51 000,0,0,17 000,17 000,0,0,0,0,0,0,0,0,18 519,18 519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94 253,94 253
b1) müddəti çatmamış depozitlər,7 734,7 734,0,0,51 000,51 000,0,0,17 000,17 000,0,0,0,0,0,0,0,0,18 519,18 519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94 253,94 253
b2) qaytarılma müddəti bitmiş depozitlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
6. Əks REPO əməliyyatları üzrə,0,0,13 553,0,3 657,0,4 779,0,2 112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24 101,0
"7. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla  qiymətlikağızlara investisiyalar",0,0,0,0,10 326,0,9 771,850,18 760,340,11 450,0,9 379,0,13 225,0,3 109,0,20 583,1 700,12 839,340,12 299,0,19 954,0,192 000,0,510,510,226 789,35 207,205 629,69 311,198 860,145 784,15 485,10 710,980 967,264 752
"8. Girov qoyulmuş qiymətli kağızlar da daxil olmaqla ticarət üçünqiymətli kağızlar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133 982,0,133 982,0
"9. 4-cü sətir üzrə banklararası bazarın qısamüddətli maliyyə alətləriistisna olmaqla, banklara kreditlər",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 500,8 500,0,0,0,0,0,0,8 500,0,0,0,40 000,0,0,0,0,0,67 000,8 500
a) cari kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 500,8 500,0,0,0,0,0,0,8 500,0,0,0,40 000,0,0,0,0,0,67 000,8 500
a1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 000,0,0,0,0,0,0,0,8 500,0,0,,40 000,0,0,0,0,0,58 500,0
a2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 500,8 500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 500,8 500
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1) Rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident banklara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
"10. 4-cü sətir üzrə qısamüddətli maliyyə alətləri istisna olmaqla,digər maliyyə institutlarına kreditlər",0,0,0,0,890,0,1 600,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 190,0
a) cari kreditlər,0,0,0,0,890,0,1 600,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 190,0
a1) Rezident,0,0,0,0,890,0,1 600,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 190,0
a2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b) vaxtı keçmiş  kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1)Rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
b2) Qeyri-rezident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0
11. Müştərilərə verilən kreditlər,27 279,828,14 411,14,6 333,7,18 850,43,70 915,224,64 138,99,64 244,92,68 704,194,62 435,389,84 162,25 053,56 706,218,73 383,6 475,78 284,25 169,53 126,1 771,73 624,1 114,1 017 823,248 443,312 513,54 803,193 139,35 000,312 491,3 246,2 652 560,403 182
a) cari kreditlər,27 279,828,14 411,14,6 333,7,18 850,43,70 915,224,64 138,99,64 244,92,68 704,194,62 435,389,84 162,25 053,56 706,218,73 383,6 475,78 284,25 169,53 126,1 771,73 624,1 114,1 017 823,248 443,312 513,54 803,193 139,35 000,237 821,0,2 577 890,399 936
b) vaxtı keçmiş kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74 670,3 246,74 670,3 246
"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadəolunmayan əsas vəsaitlər daxil olmaqla)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65 457,0,65 457,0
13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20 004,4 782,20 004,4 782
14. Qeyri-maddi aktivlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26 280,0,26 280,0
15. Digər aktivlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279 039,35 615,279 039,35 615
"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçünməqsədli ehtiyatlar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414 624,3 772,414 624,3 772
17. Cəmi aktivlər,2 603 468,666 904,53 464,14,72 360,51 161,38 145,4 038,128 012,28 288,113 607,1 119,74 323,92,81 929,194,74 044,389,135 538,49 046,88 045,9 058,86 150,6 943,98 546,25 477,245 959,2 604,83 518,2 508,1 293 811,287 348,578 142,124 114,391 999,180 784,468 464,61 935,6 709 523,1 502 016
