MADDƏLƏR,Cəmi,Xarici valyutada (2-ci sütundan)
1. Alınmış qarantiyalar və bu qəbildən olan maddələr,-,-
a) Qarantiyalar,,
b) Bu qəbildən olan digər maddələr,,
2. İxrac akkreditivləri,,
3. Silinmiş aktivlər,"176,000","15,174"
a) Balansdan silinmiş ümidsiz kreditlərin əsas məbləği,"130,527","7,086"
b) Balansdan silinmiş ümidsiz  kreditlərin faiz borcları,"33,478","8,087"
c) Balansdan silinmiş digər ümidsiz aktivlərin əsas məbləği,"11,995",1
d) Balansdan silinmiş digər ümidsiz aktivlərin faiz borcları,-,-
4. Ayrılmış kredit xətləri və kreditlər üzrə şərti tələblər,-,-
5. Digər şərti tələblər (memorandum hesabları nəzərə alınmır),-,-
