Unnamed: 0,Unnamed: 1,Hesabat dövrü,Unnamed: 2,Keçən ilin müvafiq dövrü,Unnamed: 3
,,31/3/2025,,31/3/2024,
1.00,Aktivlər:,,"12,448,104",,"8,766,814"
,"Nağd pul vəsaitləri və  ekvivalentləri, o cümlədən bloklaşdırılmış nağd",,,,
1.10,,,"3,551,268",,"2,609,709"
,vəsait,,,,
1.20,"Ticarət və investisiya qiymətli kağızları , Əks-repo",,"3,081,363",,"1,230,824"
1.30,Banklar və digər maliyyə institutlarındakı depozitlər,,"99,115",,"312,393"
1.40,Banklar və digər maliyyə institutlarına verilən kreditlər,,"24,028",,"25,673"
1.50,Müştərilərə verilmiş kreditlər,,"5,338,917",,"4,397,093"
1.5.1,a) istehlak kreditləri,,"3,006,644",,"2,421,551"
1.5.2,b) biznes kreditləri,,"1,724,513",,"1,391,636"
1.5.3,c) daşınmaz əmlak kreditləri,,"607,761",,"583,907"
1.5.4,d) digər kreditlər,,0,,0
1.5.5,(Mümkün zərərlər üçün yaradılan məqsədli ehtiyat),,"-593,070",,"-478,413"
1.5.6,Müştərilərə verilmiş kreditlər (xalis),,"4,745,848",,"3,918,680"
1.60,Əmlak və avadanlıqlar,,"93,991",,"85,316"
1.70,Qeyri-maddi aktivlər,,"34,826",,"29,160"
1.80,Təxirə salınmış mənfəət vergisi aktivi,,"53,378",,"57,510"
1.81,İnvestisiyalar və maliyyə iştirakı (xalis),,"159,004",,"95,184"
,Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi üçün,,,,
1.90,,,"-2,979",,"-5,171"
,məqsədli ehtiyat,,,,
1.10,Digər aktivlər,,"608,263",,"407,536"
2.00,Öhdəliklər:,,"11,440,739",,"7,787,179"
2.10,Depozitlər,,"9,003,883",,"6,673,562"
2.1.1,a) fiziki şəxslərin depozitləri,,"3,152,924",,"2,145,376"
2.1.2,b) hüquqi şəxslərin depozitləri,,"5,850,959",,"4,528,185"
2.20,Mərkəzi bank və dövlət fondları qarşısında öhdəliklər,,491,,540
2.30,Kredit təşkilatları və digər maliyyə institutları qarşısında öhdəliklər,,"1,564,512",,"698,605"
2.40,Borc qiymətli kağızları,,"100,000",,0
2.50,Cari vergi öhdəlikləri,,"10,837",,"10,408"
2.60,Təxirə salınmış vergi öhdəliyi,,0,,0
2.70,Subordinasiya borc öhdəlikləri,,"306,000",,"59,500"
2.80,Digər öhdəliklər,,"455,017",,"344,565"
3.00,Kapital:,,"1,007,365",,"979,635"
3.10,Səhmdar kapitalı,,"265,850",,"265,850"
3.20,Səhmin qiymətinin dəyişməsindən gəlir (zərər),,800,,800
3.30,Bölüşdürülməmiş mənfəət,,"654,200",,"660,319"
3.40,Ümumi ehtiyatlar:,,"86,516",,"52,666"
,"a) kreditlər, lizinqlər və digər tələblər üzrə mümkün zərərlərin ödənilməsi",,,,
3.4.1,,,"76,938",,"26,076"
,üçün adi ehtiyatlar,,,,
,b) əsas vəsaitlərin və qiymətli kağızların qiymətləndirilməsindən adi,,,,
3.4.2,,,"9,578",,"26,590"
,ehtiyatlar,,,,
3.4.3,c) digər ümumi ehtiyatlar,,0,,0
4.00,Cəmi öhdəliklər və kapital,,"12,448,104",,"8,766,814"
