4. Geriyə alınmış müddətsiz imtiyazlı səhmlər,4,,-,,-,-,-
5. Adi səhmlərin nominal və bazar qiymətləri arasındakı fərq,5,,800,,-,-,800
6. Müddətsiz İmtiyazlı səhmlərin nominal və bazar qiymətləri arasındakı fərq,6,,-,,-,-,-
7. Dividendlər,7,X,,X,,-,-
a) ödənilmiş adi səhmlər üzrə elan olunmuş dividendlər,,,,,,,
,7a,X,,X,,-,-
b) ödənilmiş müddətsiz imtiyazlı səhmlər üzrə elan olunmuş dividendlər,,,,,,,
,7b,X,,X,,-,-
8. Bölüşdürülməmiş xalis mənfəət (zərər),8,,"599,314",,-,"54,886","654,200"
a) Əvvəlki illərin xalis mənfəəti (zərəri),8a,,"579,243",,-,-,"579,243"
b) Cari ilin xalis mənfəət (zərəri),8b,X,,X,,"54,886","54,886"
c) Kapital ehtiyatları,8c,,"20,070",,-,-,"20,070"
9. Ümumi ehtiyatlar,9,,"61,979",,-,"24,536","86,516"
a) kreditlərdən və banklararası  tələblər üzrə mümkün zərərlərin ödənilməsi,,,,,,,
,9a,,"32,449",,-,"27,738","60,187"
üçün adi ehtiyatlar,,,,,,,
b) digər aktivlərdən olan mümkün zərərlərin ödənilməsi üçün adi ehtiyatlar,9b,,"20,170",,-,"(3,419)","16,751"
c) əsas vəsaitlərin yenidən qiymətləndirilməsi,9c,,"2,398",,-,-,"2,398"
d) qiymətli kağızların yenidən qiymətləndirilməsi,9d,,"6,962",,-,217,"7,180"
e) digər ümumi ehtiyatlar,9e,,-,,-,-,-
10. Cəmi kapital,10,,"927,943",,-,"79,422","1,007,365"
