"Valyuta riski
min manatla",,,,,,
,Maliyyə aktivləri və öhdəlikləri,Cəmi,AZN,ABŞ Dolları,Avro,Digər
1,Aktivlər,"12,448,104","9,860,201","2,493,891","83,580","10,432"
1.1,Nağd və nağd pul ekvivalentləri,"3,551,267","2,868,194","624,484","48,991","9,598"
1.2,Qiymətli kağızlar/Əks-Repo,"3,081,363","1,694,287","1,355,503","31,573",0
1.3,Müştərilərə verilmiş kreditlər,"4,745,848","4,338,011","405,777","2,059",0
1.4,Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər/depozitlər,"78,143","36,578","41,565",0,0
1.5,Törəmə maliyyə alətləri,0,0,0,0,0
1.6,Qısa müddətli maliyyə alətləri,"45,000","45,000",0,0,0
1.7,Əsas vəsaitlər,"129,081","129,081",0,0,0
1.8,İnvestisiyalar və maliyyə iştirakı (xalis),"159,004","150,543","8,461",0,0
1.9,Digər aktivlər,"658,398","598,508","58,100",956,834
2,Öhdəliklər,"11,440,738","8,896,362","2,449,686","84,824","9,867"
2.1,Mərkəzi Bank və dövlət təşkilatlarıın banka qarşı tələbləri,491,491,0,0,0
2.2,Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər,"1,564,512","1,550,800","13,095",593,24
2.3,Müştərilərin depozitləri,"9,003,682","6,827,763","2,082,239","83,869","9,812"
2.3.1,a) tələbli depozitlər,"6,547,319","4,984,745","1,469,317","83,445","9,812"
2.3.2,b) müddətli depozitlər,"2,456,363","1,843,017","612,922",423,0
2.4,Subordinasiya öhdəlikləri,"306,000",0,"306,000",0,0
2.5,Borc qiymətli kağızları,"100,000","100,000",0,0,0
2.6,Digər öhdəliklər,"466,054","417,309","48,351",362,31
3,Balans kapital,"1,007,365","1,007,365",0,0,0
,Öhdəliklərin və kapitalın cəmisi,"12,448,104","9,903,727","2,449,686","84,824","9,867"
,,,,,,
faizlə,,,,,,
"3
Açıq valyuta mövqeyi əmsalı
-3.12%
-1.52%
0.04%",,,,,,
"3.1
-4.67%
Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM)",,,,,,
"3.2
Qapalı valyuta üzrə məcmu AVM
0.03%",,,,,,
"3.3
Qiymətli metallar üzrə AVM
0.00%",,,,,,
"3.4
Məcmu AVM
-4.60%
-3.12%
-1.52%
0.04%",,,,,,
