"3. ""Nostro"" hesabları (başqa banklardakı müxbir hesabları), cəmi",-,-
a) Rezident banklar,-,"-                                                                                 24,292"
b) Qeyri-rezident banklar,-,-
"4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci gün də daxil olmaqla, 7 günədək olan vəsaitlər), cəmi","45,000",-
a) Rezident banklar,"45,000",-
b) Qeyri-rezident banklar,-,-
"5. Banklar da daxil olmaqla, maliyyə institutlarındakı depozitlər, cəmi","54,115",-
"5.1.Banklardakı depozitlər ( 3-cü və 4-cü sətirlər istisna edilməklə), cəmi","54,115",-
a) Rezident banklar,"27,000",-
b) Qeyri-rezident banklar,"27,115",-
"5.2 Digər maliyyə institutlarında depozitlər, cəmi",-,-
a) Rezident maliyyə institutlarında,-,-
b) Qeyri-rezident maliyyə institutlarında,-,-
6. Əks REPO əməliyyatları üzrə,"21,339",-
"7. Qiymətli kağızlar, cəmi","3,060,024",-
a) ödəniş müddətinədək saxlanılan,"2,845,502",-
b) ticarət üçün alınmış qiymətli kağızlar,"214,522",-
"8. Banklara kreditlər (5-ci sətir üzrə banklararası qısamüddətli maliyyə alətləri istisna olmaqla), cəmi","14,450",-
a) Rezident banklara,"8,500",-
b) Qeyri-rezident banklara,"5,950",-
"9. Digər maliyyə institutlarına kreditlər, cəmi","9,578",-
a) Rezident maliyyə institutlarına,"9,578",-
b) Qeyri-rezident maliyyə institutlarına,-,-
10. Müştərilərə verilən kreditlər,"5,338,917",-
"11. Könəlmə çıxılmaqla bank işində istifadə olunan əsas vəsaitlər, cəmi",-,-
"12. Bank işində istifadə olunmayan daşınmaz əmlak (ehtiyatlar çıxılmaqla), cəmi",-,-
13. İcmallaşmamış törəmə təsərrüfat cəmiyyətlərdə iştirak (50%+1 səs hüququ verən səhm və ya başqa formada,-,-
"törəməsidirsə), cəmi",,
