Aktivlərin   maddələri,(Hesabat ili qeyd edilsin),
,sabit faizlə,"dəyişkən faizlə
faizsiz"
"1. Nağd vəsaitlər (banknotlar və sikkələr, yolda,",,
bankomatlarda və mübadilə şöbələrində olan nağd,-,"-                             988,470"
"vəsaitlər daxil olmaqla), cəmi",,
"2. Mərkəzi Bankda müxbir hesab, cəmi",-,"-                          1,604,983"
"3. ""Nostro"" hesabları (başqa banklardakı müxbir",-,"-                             123,256"
"hesabları), cəmi",,
a) Rezident banklar,-,"-                                  7,872"
b) Qeyri-rezident banklar,-,"-                             115,384"
4. Banklararası bazarın qısamüddətli maliyyə alətləri (7-ci,532,"-   
                                      -"
"gün də daxil olmaqla, 7 günədək olan vəsaitlər), cəmi",,
