Unnamed: 0,Unnamed: 1,Unnamed: 2,Hesabat,Keçən ilin
,,finSitStatem,,
,,,dövrü,müvafiq dövrü
,,,31.3.2023,31.3.2022
"1,00",Aktivlər:,,7.728.237,6.934.685
,"Nağd pul vəsaitləri və  ekvivalentləri, o cümlədən",,,
"1,10",,,1.622.475,2.032.342
,bloklaşdırılmış nağd vəsait,,,
"1,20",Ticarət və investisiya qiymətli kağızları,,2.060.463,1.712.070
"1,30",Banklar və digər maliyyə institutlarındakı depozitlər,,713.218,270.163
"1,40",Banklar və digər maliyyə institutlarına verilən kreditlər,,70.539,85.009
"1,50",Müştərilərə verilmiş kreditlər,,3.225.007,2.903.539
1.5.1,a) istehlak kreditləri,,1.833.220,1.714.853
1.5.2,b) biznes kreditləri,,947.922,867.018
1.5.3,c) daşınmaz əmlak kreditləri,,443.865,321.668
1.5.4,d) digər kreditlər,,0,0
1.5.5,(Mümkün zərərlər üçün yaradılan məqsədli ehtiyat),,-374.894,-378.575
1.5.6,Müştərilərə verilmiş kreditlər (xalis),,2.850.112,2.524.964
"1,60",Əmlak və avadanlıqlar,,71.736,65.916
"1,70",Qeyri-maddi aktivlər,,25.653,25.484
"1,80",Təxirə salınmış vergi aktivləri,,33.740,8.604
,Balansdankənar aktivlər üzrə mümkün zərərlərin ödənilməsi,,,
"1,90",,,-4.554,2
,üçün məqsədli ehtiyat,,,
1.10,Digər aktivlər,,284.855,210.131
"2,00",Öhdəliklər:,,6.821.711,6.387.081
"2,10",Depozitlər,,5.912.636,5.476.770
2.1.1,a) fiziki şəxslərin depozitləri,,1.758.612,1.655.331
2.1.2,b) hüquqi şəxslərin depozitləri,,4.154.024,3.821.439
"2,20",Mərkəzi bank və dövlət fondları qarşısında öhdəliklər,,1.080,1.620
,Kredit təşkilatları və digər maliyyə institutları qarşısında,,,
"2,30",,,554.337,495.442
,öhdəliklər,,,
"2,40",Borc qiymətli kağızları,,0,0
"2,50",Cari vergi öhdəlikləri,,8.465,22.654
"2,60",Təxirə salınmış vergi öhdəliyi,,0,0
"2,70",Subordinasiya borc öhdəlikləri,,68.000,68.000
"2,80",Digər öhdəliklər,,277.193,322.596
"3,00",Kapital:,,906.526,547.604
"3,10",Səhmdar kapitalı,,265.850,245.850
"3,20",Səhmin qiymətinin dəyişməsindən gəlir (zərər),,800,800
"3,30",Bölüşdürülməmiş mənfəət,,592.336,260.175
"3,40",Ümumi ehtiyatlar:,,47.540,40.779
,"a) kreditlər, lizinqlər və digər tələblər üzrə mümkün zərərlərin",,,
3.4.1,,,39.348,32.503
,ödənilməsi üçün adi ehtiyatlar,,,
3.4.2,b) əsas vəsaitlərin qiymətləndirilməsindən adi ehtiyatlar,,1.338,1.435
3.4.3,c) digər ümumi ehtiyatlar,,6.854,6.840
"4,00",Cəmi öhdəliklər və kapital,,7.728.237,6.934.685
