"","","Məfəət və zərər haqqında hesabat","",""
"","","","","min manatla"
"","","","","Keçən ilin müvafiq"
"","Code","proLosStatem","Cari dövr",""
"","","","","dövrü"
"","","","31.3.2023","31.3.2022"
"1","rateInc","Faiz gəlirləri:","166.220","139.950"
"1,1","loansToCust","Müştərilərə verilmiş kreditlər","125.144","114.006"
"1,2","rateIncBankLoan","Banklar və digər maliyyə institutlarına verilən kreditlər üzrə faiz gəlirləri","1.832","1.846"
"1,3","rateIncBankDep","Banklar və digər maliyyə institutlarındakı depozitlər üzrə faiz gəlirləri","7.535","2.843"
"1,4","rateIncComInvSec","Ticarət və investisiya qiymətli kağızları üzrə faiz gəlirləri","29.374","18.833"
"1,5","miscRateInc","Digər faiz gəlirləri","2.335","2.421"
"2","rateExp","Faiz xərcləri:","23.258","19.137"
"2,1","rateForDep","Depozitlər üzrə faizlər","16.646","13.788"
"2,2","rateExpCB","Mərkəzi bank və dövlət fondları qarşısında öhdəliklər üzrə faiz xərcləri","0","0"
"2,3","ratePaidForLoan","Cəlb edilmiş kreditlərə görə ödənilən faizlər","2.523","2.491"
"2,4","raetForMonMarkInst","Pul bazarı alətlərinə ödənilən faizlər","0","0"
"2,5","rateForSec","Qiymətli kağızlar üzrə faizlər","0","0"
"2,6","miscRateExp","Digər faiz xərcləri","4.088","2.857"
"3","netRateInc","Xalis faiz gəliri(zərəri)","142.962","120.813"
"4","nonRateInc","Qeyri-faiz gəlirləri:","100.739","87.744"
"4,1","commInc","Alınan haqq və kommisiya gəliri","88.386","77.914"
"4,2","incFromForExch","Xarici valyutadan gəlir/zərər (məzənnə dəyişməsi daxil olmaqla","11.759","7.789"
"4,3","incFromSecSell","Qiymətli kağızların satışından və yenidən qiymətləndirilməsindən gəlir/zərər","-94","0"
"4,4","miscInc","Digər gəlirlər","688","2.041"
"5","nonRateExp","Qeyri-faiz xərcləri:","131.555","103.671"
"5,1","salExp","Əmək haqqı və digər kompensiya növləri üzrə xərclər","49.454","40.688"
"5,2","adminExp","Ümumi və inzibati xərclər","10.154","8.482"
"5,3","amorExp","Amortizasiya xərcləri","7.144","6.154"
"5,4","miscExp","Digər xərclər","64.803","48.347"
"6","-","Əməliyyat mənfəəti (zərəri)","112.146","103.017"
"7","resForLoss","(Mümkün zərərlər üçün yaradılan məqsədli ehtiyatlar)","-8.786","-38.800"
"8","profBefTax","Mənfəət vergisindən əvvəlki mənfəət(zərər)","103.360","64.217"
"9","profTax","Mənfəət vergisi","19.841","15.680"
"10","netProf","Dövr üzrə xalis mənfəət","83.519","50.405"
