"7,20 Digər borc öhdəliklərinin ödənilməsi 0 0"
"7,30 Subordinasiya borclarının əldə olunması 0 0"
"7,40 Subordinasiya borclarının ödənilməsi 0 0"
"7,50 Səhmdar kapitalının buraxılmasından daxilolmalar 0 0"
"7,60 Digər maliyyə öhdəliklərinin cəlb edilməsi (ödənilməsi) -10 449 0"
"8,00 Maliyyələşdirmə fəaliyyəti ilə əlaqədar yaradılan/istifadə olunan pul vəsaitləri -10 449 0
9,00 Dövrün əvvəlinə pul vəsaitləri və pul vəsaitlərinin ekvivalentləri 1 950 645 1 772 007
10,00 Pul vəsaitləri və pul vəsaitlərinin ekvivalentlərində xalis artma/(azalma) 122 268 20 341
11,00 Məzənnə dəyişikliyinin pul vəsaitləri və pul vəsaitlərinin ekvivalentlərinə təsiri -3 206 -2 251
12,00 Dövrün sonuna pul vəsaitləri və pul vəsaitlərinin ekvivalentləri 2 072 913 1 792 349"
