"Balance Sheet","",""
"Kapital Bank ""O.J.S.C.""  31.12.2020","",""
"","","(thousand AZN)"
"","",""
"Asset items","Total","In foreign currency"
"1. Cash (including banknotes, coins, cash in transit, teller machines and exchange stations), total","631 636","137 522"
"2. Claims on CBAR, total","1 113 526","479 176"
"3. “Nostro” accounts (correspondent accounts at other banks), total","127 283","127 283"
"4. Short-term financial instruments of inter-bank market (loans up to 7 days, including the 7th","",""
"","0","0"
"day), total","",""
"5. Deposits at financial institutions, including banks","183 747","19 202"
"6. Reverse REPO operations","186 782","0"
"7. Securities, total","799 670","176 717"
"8. Loans to banks (except for short-term inter-bank financial instruments specified in row 5),","8 500","8 500"
"9. Loans to other financial institutions, total","1 925","0"
"10. Loans to customers","2 175 951","387 766"
"10.1 (less) Specific reserves against possible losses on loans","274 782","2 939"
"10.2 Net loans (row 10 less row 10.1)","1 901 168","384 828"
"11. Fixed assets used in banking operations, excluding depreciation,total","61 639","0"
"12.  Fixed assets not used in banking operations, total","975","0"
"13.  Investments and financial participation (50 % + 1 voting share) in unconsolidated affiliate","4 990","0"
"14. Investments and financial participation (less than 50 % voting share) in other","5 570","4 782"
"15. Intangible assets,excluding depreciation","24 291","0"
"16.  (less) Specific reserves against possible losses on loans on off-balance assets","47","0"
"17. Other assets (excluding specific reservers)","175 816","21 054"
"Total assets","5 227 472","1 359 063"
