Kredit riski,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Kredit portfelinin keyfiyyəti,,,,,,,,,,,,,,min manatla,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Əsas məbləğ üzrə borc,,,,,,,,,,,,,
,,Cari,Vaxtı keçmiş günlər,,,,,,,,,,,,
,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,151-180 gün,181-210 gün,211-240 gün,241-270 gün,271-300 gün,301-330 gün,331-365 (366) gün,1 il və  artıq
"Kredit portfeli, o cümlədən",2175950.6599999997,2015894.0499999998,105626.46999999999,13356.64,5987.09,4133.45,3664.8,1907.9599999999998,2058.4799999999996,1865.74,2149.76,1717.34,2730.67,1525.8899999999999,13332.320000000002
  -Biznes,582076.7199999997,558079.3199999997,7101.149999999999,2357.5699999999997,45.69999999999942,60.62999999999978,300,62.259999999999884,230.0099999999998,143.68000000000006,9.380000000000038,-6.394884621840902e-14,1199.98,0,12487.04
  -İstehlak,1365844.83,1239859.12,90460.43999999999,10036.32,5537.700000000001,3981.21,3364.8,1791.58,1644.0099999999998,1548.3,2115.55,1694.77,1530.69,1525.8899999999999,754.4499999999999
  -Daşınmaz əmlak,228029.10999999996,217955.61,8064.88,962.75,403.69,91.61,0,54.12,184.46,173.76,24.83,22.57,0,0,90.83
  -Digər kreditlər,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,,,,,,
Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,Təminatsız,Nağd vəsaitlə təmin olunan,Qızıl təminatlı,Daşınmaz əmlakla təmin olunan,Daşınar əmlakla təmin olunan,Qarantiyalar ilə təmin olunan,Kredit törəmə alətləri ilə təmin olunan,,,,,,,
"Kredit portfeli, o cümlədən",2175950.6599999997,1565596.8299999998,12114,0,316595.11,281644.72000000003,0,0,,,,,,,
  -Biznes,582076.7199999999,221692.57999999984,3871,0,88566,267947.14,0,0,,,,,,,
  -İstehlak,1365844.83,1343904.25,8243,0,0,13697.58,0,0,,,,,,,
  -Daşınmaz əmlak,228029.10999999996,0,0,0,228029.10999999996,0,0,0,,,,,,,
  -Digər kreditlər,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,
